,data_size,data_id,mini_batch,n_conditions,cosine_shift,n_steps,list_steps,mmd,median,median_rmse,contractions,rel_contraction
12,10,2,1,1,0,27.0,"[0.5, 0.20164558291435242, None, 0.011492382735013962, 0.09062042832374573, None, 0.010687021538615227, 0.09954368323087692, None, 0.010235372930765152, None, 0.009280438534915447, None, 0.009090283885598183, None, 0.009017317555844784, None, 0.008920075371861458, None, 0.008807391859591007, None, 0.008694367483258247, None, 0.008608553558588028, None, 0.008512750267982483, 0.004844361916184425]",1.0082593045583574,"[-0.5075661  -0.23867336 -0.44127756 -0.2919786  -0.33108893 -0.47680566
  0.0893706   0.4682274   0.48375303 -0.40400493]",0.3768360954291237,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999959083
13,10,3,1,1,0,27.0,"[0.5, 0.20164558291435242, None, 0.011492382735013962, 0.09062042832374573, None, 0.010687021538615227, 0.09954368323087692, None, 0.010235372930765152, None, 0.009280438534915447, None, 0.009090283885598183, None, 0.009017317555844784, None, 0.008920075371861458, None, 0.008807391859591007, None, 0.008694367483258247, None, 0.008608553558588028, None, 0.008512750267982483, 0.004844361916184425]",0.7924196755236286,"[ 0.13965704 -0.04483942 -0.42907608 -0.42119935  0.3846543  -0.38847145
 -0.32506922 -0.2894549   0.2653568   0.08108105]",0.3188305157706694,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999961512
14,10,4,1,1,0,27.0,"[0.5, 0.20164558291435242, None, 0.011492382735013962, 0.09062042832374573, None, 0.010687021538615227, 0.09954368323087692, None, 0.010235372930765152, None, 0.009280438534915447, None, 0.009090283885598183, None, 0.009017317555844784, None, 0.008920075371861458, None, 0.008807391859591007, None, 0.008694367483258247, None, 0.008608553558588028, None, 0.008512750267982483, 0.004844361916184425]",0.9846862590189371,"[-0.5098006   0.4616686   0.26260784  0.43328875  0.34618053  0.33730242
 -0.24017522 -0.44117913 -0.38406953 -0.20567702]",0.3698007176957881,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999928654
15,10,5,1,1,0,27.0,"[0.5, 0.20164558291435242, None, 0.011492382735013962, 0.09062042832374573, None, 0.010687021538615227, 0.09954368323087692, None, 0.010235372930765152, None, 0.009280438534915447, None, 0.009090283885598183, None, 0.009017317555844784, None, 0.008920075371861458, None, 0.008807391859591007, None, 0.008694367483258247, None, 0.008608553558588028, None, 0.008512750267982483, 0.004844361916184425]",0.9350427416032132,"[ 0.27941847  0.2729255   0.06741953  0.26659086  0.39987108 -0.4475295
 -0.3253029  -0.46418664  0.0830768   0.35286206]",0.3576536103587348,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999928967
16,10,6,1,1,0,27.0,"[0.5, 0.20164558291435242, None, 0.011492382735013962, 0.09062042832374573, None, 0.010687021538615227, 0.09954368323087692, None, 0.010235372930765152, None, 0.009280438534915447, None, 0.009090283885598183, None, 0.009017317555844784, None, 0.008920075371861458, None, 0.008807391859591007, None, 0.008694367483258247, None, 0.008608553558588028, None, 0.008512750267982483, 0.004844361916184425]",0.9936017907556774,"[-0.18156476  0.43808776  0.4078523  -0.3824293   0.3283469  -0.26321194
  0.3519003  -0.31830835 -0.39087626 -0.4465688 ]",0.372449811409337,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999953567
17,10,7,1,1,0,27.0,"[0.5, 0.20164558291435242, None, 0.011492382735013962, 0.09062042832374573, None, 0.010687021538615227, 0.09954368323087692, None, 0.010235372930765152, None, 0.009280438534915447, None, 0.009090283885598183, None, 0.009017317555844784, None, 0.008920075371861458, None, 0.008807391859591007, None, 0.008694367483258247, None, 0.008608553558588028, None, 0.008512750267982483, 0.004844361916184425]",0.971740297884413,"[-0.39817768 -0.36550647 -0.4301307  -0.1863139  -0.14390463 -0.22036897
  0.3159192  -0.39312044  0.45618322 -0.40913028]",0.3666724677952709,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999941332
18,10,8,1,1,0,27.0,"[0.5, 0.20164558291435242, None, 0.011492382735013962, 0.09062042832374573, None, 0.010687021538615227, 0.09954368323087692, None, 0.010235372930765152, None, 0.009280438534915447, None, 0.009090283885598183, None, 0.009017317555844784, None, 0.008920075371861458, None, 0.008807391859591007, None, 0.008694367483258247, None, 0.008608553558588028, None, 0.008512750267982483, 0.004844361916184425]",1.052052152570145,"[-0.43134004  0.35370314 -0.04484075  0.3805953   0.4299622   0.23209041
 -0.42010796  0.45836994  0.46730956  0.45414832]",0.38838742633818235,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999910648
19,10,9,1,1,0,27.0,"[0.5, 0.20164558291435242, None, 0.011492382735013962, 0.09062042832374573, None, 0.010687021538615227, 0.09954368323087692, None, 0.010235372930765152, None, 0.009280438534915447, None, 0.009090283885598183, None, 0.009017317555844784, None, 0.008920075371861458, None, 0.008807391859591007, None, 0.008694367483258247, None, 0.008608553558588028, None, 0.008512750267982483, 0.004844361916184425]",1.0607892070543032,"[ 0.41122815  0.29404327  0.46558818  0.42419094  0.1383468  -0.30563113
 -0.38411558 -0.3397573  -0.34299323 -0.40167958]",0.3897139648590908,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999951906
20,10,0,10,1,0,9.0,"[0.5, 0.1997428983449936, None, 0.011770357377827168, 0.18287226557731628, None, 0.011040972545742989, 0.08948373794555664, 0.005089744925498962]",0.7672360497429906,"[-0.17487009 -0.12372375  0.37381145 -0.459849    0.21524602 -0.3301388
 -0.23055945 -0.07872333 -0.13418375  0.39401236]",0.31226607761426506,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.099999999997491
21,10,1,10,1,0,9.0,"[0.5, 0.1997428983449936, None, 0.011770357377827168, 0.18287226557731628, None, 0.011040972545742989, 0.08948373794555664, 0.005089744925498962]",0.8613544844239085,"[ 0.38141698 -0.37944567  0.24793988  0.03896211 -0.08061564 -0.13364254
 -0.42653    -0.40230092  0.00253572 -0.37421644]",0.336564441143247,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0999999999960481
