,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,median_global,median_local,rmse_global,c_error_global,contractions_global,rmse_local,c_error_local,contractions_local,median
0,16,0,1,1,1,0,9804.0,[ 0.2777918  -0.15939322  0.42068392],"[ 0.35406965 -0.19875464 -0.36168325 -0.5439992  -0.58888716  0.860734
 -0.7967048  -0.642558    0.54696864  0.4077232   0.9279425   0.18616927
 -0.38657954 -0.27330264 -0.55698335 -0.38882   ]",0.12053766,0.2897368421052632,0.8415396,0.14770618,0.31531250000000005,0.95678806,
1,16,1,1,1,1,0,9804.0,[ 0.46773428  0.51536965 -0.22763443],"[ 0.42070615  0.48831278  0.68267494  0.30975908  0.30741358  0.15664154
  0.22904617  0.7491944   0.78796506  0.01280013  0.15711373  0.0979588
 -0.00160339  0.62177956 -0.4685098   0.6038841 ]",0.12053766,0.2897368421052632,0.8415396,0.14770618,0.31531250000000005,0.95678806,
2,16,2,1,1,1,0,9804.0,[-0.62219954  0.40482393  0.08833585],"[ 0.5895182  -0.02973339 -0.06428653 -0.6137244  -0.10083997  0.03921801
  0.7241603   0.45740783 -0.9464817  -0.56819665  0.94429547  0.93097824
  0.3304249   0.38286155  0.4269765  -0.8635884 ]",0.12053766,0.2897368421052632,0.8415396,0.14770618,0.31531250000000005,0.95678806,
3,16,3,1,1,1,0,9804.0,[-1.2805747   0.01956388  0.54738384],"[ 0.7443132  -0.7532215   0.30564076  0.19771779 -0.9294756  -0.590556
 -0.7536094   0.4767676   0.3251509   0.7652816   0.9274918  -0.94549644
 -0.24162555 -0.9815934  -0.1319117   0.52539456]",0.12053766,0.2897368421052632,0.8415396,0.14770618,0.31531250000000005,0.95678806,
4,16,4,1,1,1,0,9804.0,[-0.11090158  0.197801    0.47296643],"[ 0.73153514  0.5074508   0.10482198 -0.6390419  -0.2533536  -0.44014022
  0.8299255  -0.8280192   0.92574996  0.43797547  0.47562987  0.42701817
  0.97308505 -0.7952189   0.5849045   0.32029122]",0.12053766,0.2897368421052632,0.8415396,0.14770618,0.31531250000000005,0.95678806,
5,16,5,1,1,1,0,9804.0,[-0.14473084 -0.48172677  0.8681081 ],"[-0.80817354  0.5718373   0.3475239  -0.9240785  -0.21580693  0.89770997
  0.6744488  -0.804464    0.13821527  0.8148355  -0.6651718  -0.8899035
  0.39375424 -0.7064085  -0.99623036 -0.52969635]",0.12053766,0.2897368421052632,0.8415396,0.14770618,0.31531250000000005,0.95678806,
6,16,6,1,1,1,0,9804.0,[0.18844543 0.0590686  0.02515927],"[-0.02496743 -0.13180321 -0.06116876 -0.13952458  0.7375709   0.6290646
 -0.7965243   0.1617747   0.13187313 -0.46973696 -0.16076389  0.74576974
  0.58870393  0.75005955  0.0703389  -0.00128695]",0.12053766,0.2897368421052632,0.8415396,0.14770618,0.31531250000000005,0.95678806,
7,16,7,1,1,1,0,9804.0,[-1.8707694   0.35180497  0.66806823],"[ 0.99442565  0.93183166 -0.45807505  0.5271103  -0.414252   -0.08271405
 -0.82852334  0.24000067  0.84206593 -0.42192212  0.9731824  -0.99125206
  0.9775294   0.99840987  0.9771262   0.51125544]",0.12053766,0.2897368421052632,0.8415396,0.14770618,0.31531250000000005,0.95678806,
8,16,8,1,1,1,0,9804.0,[0.23836803 0.44111323 0.81159663],"[-0.6042262   0.98046815 -0.06523654 -0.7263789   0.9845336  -0.64529854
 -0.8962623  -0.46251798  0.96679586  0.9829471  -0.3454919   0.9188987
 -0.4116427   0.2826444   0.93905646 -0.6959697 ]",0.12053766,0.2897368421052632,0.8415396,0.14770618,0.31531250000000005,0.95678806,
9,16,9,1,1,1,0,9804.0,[-0.38858926  0.53502786  0.11780673],"[ 0.8479043  -0.09808493 -0.7032264   0.54754454  0.23838496  0.7739948
  0.463993    0.59128195 -0.22544423  0.40814197  0.5193577   0.6756169
  0.77037895  0.66454387  0.8535315  -0.3726488 ]",0.12053766,0.2897368421052632,0.8415396,0.14770618,0.31531250000000005,0.95678806,
