,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,median_global,median_local,rmse_global,c_error_global,contractions_global,rmse_local,c_error_local,contractions_local,median
0,16,0,1,1,1,0,6789.0,[-0.7411393  -1.4633548   0.65218854],"[ 0.2104643  -0.90726745 -0.7324785  -0.9007728  -0.63821065 -0.64964354
 -0.40695155 -0.78198993 -0.87405264 -0.5308977   0.16970822 -0.79722524
 -0.7726298  -0.89024186 -0.32033598 -0.8274423 ]",0.09364498,0.30000000000000004,0.92975444,0.15032083,0.3028782894736842,0.9726257,
1,16,1,1,1,1,0,6789.0,[-1.296534   -0.06539887  0.9757343 ],"[ 0.90037656  0.98843867 -0.5424106  -0.7182633  -0.96886593 -0.8643318
  0.42123193 -0.78819096  0.93430185  0.9801864   0.06601501 -0.5537281
  0.23009121  0.99730366 -0.85944384 -0.7235759 ]",0.09364498,0.30000000000000004,0.92975444,0.15032083,0.3028782894736842,0.9726257,
2,16,2,1,1,1,0,6789.0,[1.0329093  0.36752674 1.1894503 ],"[ 0.8096374   0.44501114  0.19422162  0.90013456 -0.9608251  -0.99083847
  0.9783716  -0.06646225 -0.92012787  0.9327537   0.83046496  0.9752092
 -0.8979624   0.38249362 -0.92190605  0.96473145]",0.09364498,0.30000000000000004,0.92975444,0.15032083,0.3028782894736842,0.9726257,
3,16,3,1,1,1,0,6789.0,[ 0.9563254  -0.46784875  1.0533724 ],"[-0.90585583 -0.7720319  -0.50492364  0.44066405  0.91567445 -0.8022307
 -0.72145575  0.8459245   0.41568315 -0.8947819   0.9751472   0.22441673
 -0.7479335   0.57476526 -0.90054715 -0.12725618]",0.09364498,0.30000000000000004,0.92975444,0.15032083,0.3028782894736842,0.9726257,
4,16,4,1,1,1,0,6789.0,[-0.17517477 -0.6709577  -0.7481972 ],"[-0.37313327 -0.11146483 -0.11670768 -0.37627977 -0.07782903 -0.5546131
 -0.04138169 -0.560236   -0.3838323  -0.36201715 -0.09285724 -0.58238304
 -0.4267092  -0.27053946  0.065478   -0.2202644 ]",0.09364498,0.30000000000000004,0.92975444,0.15032083,0.3028782894736842,0.9726257,
5,16,5,1,1,1,0,6789.0,[ 0.40214625  0.10285728 -0.13953906],"[ 0.42968822  0.6840352   0.31858075 -0.42740846 -0.03148377  0.12425417
 -0.42795807  0.41230708 -0.08239084 -0.44893333  0.00923738 -0.01201561
  0.16232628 -0.06723455 -0.63933516 -0.49972925]",0.09364498,0.30000000000000004,0.92975444,0.15032083,0.3028782894736842,0.9726257,
6,16,6,1,1,1,0,6789.0,[ 0.06627556 -0.63952696  0.0087368 ],"[-0.46918198 -0.11259782 -0.7397269  -0.35032743 -0.3844388  -0.72835207
 -0.4879024  -0.24813968 -0.41739994 -0.06477743 -0.3304292  -0.17856902
 -0.69216853 -0.05199233 -0.7038119  -0.03005967]",0.09364498,0.30000000000000004,0.92975444,0.15032083,0.3028782894736842,0.9726257,
7,16,7,1,1,1,0,6789.0,[-0.43236917  0.70838094 -0.52425325],"[ 0.28393543 -0.16839355  0.4147542  -0.08369094  0.4809538   0.22015673
  0.38527054  0.6057797   0.10238835  0.586881    0.5039109  -0.0274204
  0.6691856   0.49901772  0.3850639   0.5819418 ]",0.09364498,0.30000000000000004,0.92975444,0.15032083,0.3028782894736842,0.9726257,
8,16,8,1,1,1,0,6789.0,[0.9975625 0.5345608 0.5221777],"[ 0.8779964   0.8197044  -0.9141573   0.48596334 -0.6453327  -0.34912622
  0.63680667  0.637997   -0.5570208  -0.3106828   0.2577268   0.4151219
  0.58272314  0.03209662 -0.6648155   0.00982571]",0.09364498,0.30000000000000004,0.92975444,0.15032083,0.3028782894736842,0.9726257,
9,16,9,1,1,1,0,6789.0,[-0.8016373  1.4660354 -0.8179992],"[0.6626786  0.722767   0.6622011  0.66263187 0.69212687 0.60578346
 0.6244288  0.5486119  0.57959646 0.72515106 0.5400798  0.6984989
 0.60955065 0.6768491  0.55465657 0.6282931 ]",0.09364498,0.30000000000000004,0.92975444,0.15032083,0.3028782894736842,0.9726257,
10,16,10,1,1,1,0,6789.0,[-0.95759547  0.11451714  1.4528111 ],"[-0.9313543   0.96020615 -0.9937933  -0.7649195  -0.9760479   0.15146482
  0.56762964 -0.19783944  0.56409633 -0.96927315  0.43627095 -0.41070583
  0.986454   -0.08377975 -0.8810632   0.9463495 ]",0.09364498,0.30000000000000004,0.92975444,0.15032083,0.3028782894736842,0.9726257,
11,16,11,1,1,1,0,6789.0,[-0.3358541  -0.22901449 -0.56538606],"[-0.22827405  0.10030609  0.09908137 -0.54723686 -0.06308585 -0.17437705
  0.4258232   0.09191802 -0.42008442 -0.49109915 -0.1413174  -0.1689583
  0.292324   -0.660622   -0.27510107 -0.23492771]",0.09364498,0.30000000000000004,0.92975444,0.15032083,0.3028782894736842,0.9726257,
12,16,12,1,1,1,0,6789.0,[-2.6071072   0.45090383 -1.1994689 ],"[ 0.25510556  0.2006818   0.12976867  0.0541153   0.03542235 -0.02986413
  0.17159384  0.44839287  0.4399957   0.4616412   0.09051162  0.11534774
  0.5962124   0.23823154  0.51032233  0.51816297]",0.09364498,0.30000000000000004,0.92975444,0.15032083,0.3028782894736842,0.9726257,
