,data_size,data_id,mini_batch,n_steps,list_steps,mmd,median,median_rmse,contractions,rel_contraction
0,1,0,1,11,"[       nan 0.02178536 0.02274585 0.07370826 0.11015256 0.14669187
 0.16698496 0.17598651 0.13836226 0.09382629 0.04975608]",0.009067619928831983,"[ 0.25144285 -0.06081398 -0.01294138  0.19524679  0.04920463  0.07307325
  0.03167403 -0.05201944  0.10472433  0.10167994]",0.027014215499450784,"[ 0.03170075 -0.59790665  0.43527901  0.39526664  0.37886591  0.24284522
  0.21179516 -0.07586822  0.36447274  0.13444845]",0.3041798043996099
1,1,1,1,11,"[       nan 0.02178536 0.02274585 0.07370826 0.11015256 0.14669187
 0.16698496 0.17598651 0.13836226 0.09382629 0.04975608]",0.012146230866959984,"[ 0.10219377  0.09675768  0.0379175   0.15844925 -0.0271496   0.08709617
  0.15544397 -0.07014008  0.06083377 -0.0250409 ]",0.03548296782772579,"[ 0.22454786 -0.06002521  0.35872895  0.27365156 -0.07927034  0.40712219
  0.41688431 -0.06602479  0.28194792  0.4018273 ]",0.43187795020639924
2,1,2,1,11,"[       nan 0.02178536 0.02274585 0.07370826 0.11015256 0.14669187
 0.16698496 0.17598651 0.13836226 0.09382629 0.04975608]",0.006006163837592782,"[-0.13300282 -0.0332589   0.1045378   0.04632816  0.08044979 -0.10276388
 -0.01352897  0.08065304  0.14548619  0.12153399]",0.023901036864766596,"[ 0.3186431   0.05678211  0.18001108  0.26647134  0.28038782  0.24301594
  0.39413522 -0.48913478  0.18888882  0.32443113]",0.3527263533324006
3,1,3,1,11,"[       nan 0.02178536 0.02274585 0.07370826 0.11015256 0.14669187
 0.16698496 0.17598651 0.13836226 0.09382629 0.04975608]",0.006332033303487528,"[-0.06353185  0.02806925 -0.07975762 -0.10089745 -0.10842153  0.05916652
  0.12069137  0.03181169 -0.00194424 -0.10415101]",0.027660483676058216,"[ 0.28436852 -0.05407676  0.30205704  0.41003849  0.31343049  0.32428086
  0.3673624  -0.16188228  0.26590254  0.42759182]",0.4958146233111623
4,1,4,1,11,"[       nan 0.02178536 0.02274585 0.07370826 0.11015256 0.14669187
 0.16698496 0.17598651 0.13836226 0.09382629 0.04975608]",0.011840374969243506,"[-0.18746567 -0.07265113 -0.04630146  0.16524264  0.10833453  0.03171331
 -0.1409441   0.10449022 -0.18424125 -0.07484546]",0.03314157550647712,"[0.34318508 0.01407026 0.39017151 0.2629292  0.26524167 0.42488708
 0.26555324 0.17976055 0.38655454 0.32753993]",0.5719786118716004
5,1,5,1,11,"[       nan 0.02178536 0.02274585 0.07370826 0.11015256 0.14669187
 0.16698496 0.17598651 0.13836226 0.09382629 0.04975608]",0.007550814097071257,"[-0.07476085  0.10463372 -0.05343582 -0.12037766 -0.04012347 -0.00255669
  0.07754451 -0.1127187  -0.11226895 -0.04225663]",0.02955766183853825,"[ 0.18909697 -0.11602489  0.1839014   0.21521917 -0.13817044  0.25825531
  0.25155127  0.18883527  0.34539916  0.44580579]",0.36477380245924024
6,1,6,1,11,"[       nan 0.02178536 0.02274585 0.07370826 0.11015256 0.14669187
 0.16698496 0.17598651 0.13836226 0.09382629 0.04975608]",0.005337276351402354,"[-0.05130494  0.12014224 -0.00893151 -0.10311417 -0.05169595  0.04361263
 -0.18797714 -0.05759993  0.04913712  0.01167315]",0.02724373562431647,"[ 0.26928137 -0.28595745  0.18377306  0.32928891  0.14129833  0.26641178
  0.51232974  0.08425044  0.36475432  0.36586707]",0.4462595172226432
7,1,7,1,11,"[       nan 0.02178536 0.02274585 0.07370826 0.11015256 0.14669187
 0.16698496 0.17598651 0.13836226 0.09382629 0.04975608]",0.007694256821336287,"[ 0.12926194  0.05113069  0.14249942 -0.13572279 -0.01410434 -0.01114639
 -0.10381382 -0.0501352  -0.05605478  0.01519291]",0.028293044001331244,"[ 0.23828519 -0.21666482  0.19943875  0.39157646  0.21481786  0.16887973
  0.41270482 -0.25014838  0.30364275  0.20513406]",0.33353328518569497
8,1,8,1,11,"[       nan 0.02178536 0.02274585 0.07370826 0.11015256 0.14669187
 0.16698496 0.17598651 0.13836226 0.09382629 0.04975608]",0.007847675984694602,"[-0.11675242 -0.06710671  0.01488086 -0.23073274  0.09159099  0.01518924
 -0.01408872 -0.03623904 -0.13405755  0.17345548]",0.03338109590108026,"[0.37030817 0.20804603 0.35449716 0.42002594 0.37076462 0.22406212
 0.08698918 0.30460411 0.29912724 0.39199891]",0.6060846969485285
9,1,9,1,11,"[       nan 0.02178536 0.02274585 0.07370826 0.11015256 0.14669187
 0.16698496 0.17598651 0.13836226 0.09382629 0.04975608]",0.016658374432317435,"[-0.15342507  0.04161433  0.06319595  0.0294088   0.01058077  0.01963903
  0.06657475  0.09902004  0.18545678  0.0799876 ]",0.042774962280554184,"[ 0.38149201 -0.07980408  0.23893386  0.17857833  0.0727677   0.24898981
  0.35352029  0.123317    0.35531514  0.43509037]",0.4616400860249999
