,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,median_global,median_local,rmse_global,c_error_global,contractions_global,rmse_local,c_error_local,contractions_local
11,16,11,1,1,1,0,5390.0,[ 0.9134613   0.4795818  -0.19281903],"[ 0.04495895 -0.01548901 -0.25885892 -0.03356242 -0.05575255 -0.12293994
  0.39390177 -0.23840785  0.6372412   0.2524808   0.6641983   0.15363297
 -0.03679523  0.16637853 -0.1340467   0.6352723 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
12,16,12,1,1,1,0,5390.0,[-0.15013328 -0.14926918 -0.46151647],"[-0.92597854 -0.146534   -0.04607841 -0.85017645  0.44786096  0.2740051
 -0.7139555   0.83810556 -0.5587238  -0.17765507 -0.14651665 -0.67945975
 -0.4610492   0.10001767  0.26346746 -0.08998668]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
13,16,13,1,1,1,0,5390.0,[-0.06717622  0.48540467 -0.02313147],"[ 0.15685934 -0.39036945 -0.1745559   0.14020014 -0.8011472   0.06579944
 -0.5132413   0.05597895  0.12714824 -0.0056197   0.00565577 -0.47873
 -0.29772964 -0.72466075  0.33965808  0.07452494]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
14,16,14,1,1,1,0,5390.0,[1.1766167  1.4313059  0.65440667],"[ 0.03901803  0.42727894 -0.33886397 -0.69447744  0.08743218 -0.00479311
  0.08096343  0.44927406  0.7212106   0.9748211   0.84986395  0.6993073
  0.10833794  0.97242475 -0.05502149  0.99521226]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
15,16,15,1,1,1,0,5390.0,[-0.21449909 -0.20495093 -0.65247905],"[-0.2243956  -0.7068516  -0.54726875 -0.34519398 -0.40661603 -0.98938715
 -0.1943506  -0.4055924  -0.73560965 -0.43264067  0.41582352 -0.8097104
 -0.2680382  -0.14061177 -0.4671772   0.06050545]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
16,16,16,1,1,1,0,5390.0,[-0.56121325  0.32237148 -0.14446378],"[ 0.09206325  0.54556483  0.3312689  -0.05446157  0.27910218 -0.15292203
 -0.25529078 -0.400327   -0.38747448  0.13793683 -0.10618624 -0.32827127
  0.29401767 -0.1185903   0.8862783   0.26821244]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
17,16,17,1,1,1,0,5390.0,[ 1.0372603   0.09041487 -1.2158891 ],"[ 0.05662349  0.88490885 -0.39721313  0.76206696  0.50870764 -0.7764968
  0.45832086  0.58092    -0.47380003 -0.62085474  0.15050766 -0.17914999
 -0.02247286 -0.19143349  0.0613147   0.11629093]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
18,16,18,1,1,1,0,5390.0,[-1.9726425   0.20960486 -0.7029339 ],"[-0.25742248  0.5117      0.15555954  0.4750901  -0.03441471  0.11104345
  0.5925383  -0.50053537 -0.10070956  0.4780941  -0.0279386   0.67816734
  0.04835242 -0.20580888  0.13017252  0.62226456]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
19,16,19,1,1,1,0,5390.0,[-1.1645926  0.7802668  1.9366151],"[ 0.99252033  0.7636871   0.9980859   0.8966033   0.3790767   0.98337656
 -0.87467015  0.9217533  -0.27672833  0.79435     0.99832577  0.9058751
  0.9272217   0.95589525  0.9975425   0.5544674 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
20,16,20,1,1,1,0,5390.0,[ 0.61483014 -0.26488116  0.26993805],"[-0.78299737  0.01842165  0.22157085 -0.81180537 -0.07385674 -0.5540229
  0.26712233  0.04026932  0.85493827 -0.5880319  -0.80138195  0.93351746
  0.34970823  0.1586892  -0.40174156  0.4815951 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
21,16,21,1,1,1,0,5390.0,[-0.33206654 -0.05014749 -0.12016342],"[-0.7497098  -0.8541815  -0.5149997   0.0061301   0.34595084 -0.28887707
 -0.7985214   0.05665115 -0.58415186 -0.2962754  -0.7219878   0.7001819
 -0.1470997  -0.2553313   0.47011966 -0.6583297 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
22,16,22,1,1,1,0,5390.0,[-1.3962221  -1.000956    0.48760185],"[-0.38928005 -0.3889007  -0.17624912 -0.87078184 -0.00495929 -0.3796258
 -0.4263228  -0.28428864 -0.9601609   0.14777401 -0.26340175 -0.13630694
 -0.4832887  -0.1922361  -0.4995286  -0.6613586 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
23,16,23,1,1,1,0,5390.0,[ 0.67433363  0.0045318  -0.4276453 ],"[-0.54743516 -0.3688662   0.28794825  0.7025705  -0.617257    0.05260718
  0.06616193  0.06583953  0.03985208  0.18456742 -0.72404265 -0.18478563
  0.4482466   0.4156376  -0.41284138 -0.5604574 ]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
24,16,24,1,1,1,0,5390.0,[ 1.0791837  -0.60753655 -0.27590686],"[-0.02297333  0.1272409   0.1949903   0.66152704 -0.19001126  0.0208002
 -0.8196955   0.16164702 -0.3468872  -0.04051226 -0.4217085   0.16539362
  0.75967026 -0.756031   -0.80357254  0.29461902]",0.18979259,0.2217543859649123,0.8073967,0.3871274,0.30462171052631587,0.4614395
