,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,median_global,median_local,rmse_global,c_error_global,contractions_global,rmse_local,c_error_local,contractions_local
10,16,10,1,1,1,0,5838.0,[-0.66556805 -0.0045963   0.10113643],"[-0.6832875   0.04078275  0.5942458   0.12822255  0.46523684 -0.9390734
  0.04898795 -0.32214695 -0.04707581 -0.3939969   0.44629037  0.47156262
 -0.53694046 -0.26241606  0.36009377 -0.6295674 ]",0.21214645,0.28807017543859653,0.7691107,0.3673817,0.3059375000000001,0.55059797
11,16,11,1,1,1,0,5838.0,[ 0.674992    0.54209197 -0.7209898 ],"[-0.10738242  0.20187467 -0.2728673   0.22324526 -0.36696923  0.28690797
  0.39567178  0.03855085  0.89590204  0.36940092  0.7431825  -0.03491226
 -0.04033297  0.23488021  0.01421258  0.8656142 ]",0.21214645,0.28807017543859653,0.7691107,0.3673817,0.3059375000000001,0.55059797
12,16,12,1,1,1,0,5838.0,[-0.2070559  -0.38142937  0.43017426],"[-0.9587114  -0.06130451 -0.19718152 -0.8414221   0.53165525  0.17240694
 -0.79899776  0.8283022  -0.65208983 -0.13147995 -0.16950533 -0.68627685
 -0.39342138 -0.15595677  0.327462   -0.05972645]",0.21214645,0.28807017543859653,0.7691107,0.3673817,0.3059375000000001,0.55059797
13,16,13,1,1,1,0,5838.0,[-0.12036593  0.14479294  0.2945958 ],"[-0.01451355 -0.51741076 -0.18576595  0.01820588 -0.8599766   0.01573038
 -0.57732093 -0.02803576 -0.03702414 -0.02453902 -0.08231592 -0.42260048
 -0.3002793  -0.8145099   0.19024336 -0.08659744]",0.21214645,0.28807017543859653,0.7691107,0.3673817,0.3059375000000001,0.55059797
14,16,14,1,1,1,0,5838.0,[1.0080904 1.8017864 0.4055293],"[ 0.50052726  0.8211144  -0.15384728 -0.525037    0.0767557  -0.016761
 -0.00303322  0.5646341   0.9044922   0.97719854  0.95780724  0.7844457
  0.239649    0.97575694 -0.0579477   0.99518913]",0.21214645,0.28807017543859653,0.7691107,0.3673817,0.3059375000000001,0.55059797
15,16,15,1,1,1,0,5838.0,[-0.19841407 -0.1528862   0.854132  ],"[-0.0324049  -0.79288715 -0.23592252 -0.7445971  -0.28723177 -0.9963205
 -0.2340863  -0.46838635 -0.73638403 -0.51517403  0.69519544 -0.8549534
 -0.34818637  0.09006339 -0.2981611  -0.13593695]",0.21214645,0.28807017543859653,0.7691107,0.3673817,0.3059375000000001,0.55059797
16,16,16,1,1,1,0,5838.0,[-0.5937917   0.19143873  0.23223138],"[ 0.09585685  0.47580838  0.2672261  -0.05402964  0.17710927 -0.25492305
 -0.2626112  -0.4223149  -0.4291111   0.16217381 -0.08988321 -0.34998095
  0.2778155  -0.18818179  0.87374413  0.17990094]",0.21214645,0.28807017543859653,0.7691107,0.3673817,0.3059375000000001,0.55059797
17,16,17,1,1,1,0,5838.0,[1.0850818  0.7423528  0.26127768],"[-0.07669264  0.9524964  -0.5167589   0.7423344   0.7883964  -0.8035698
  0.41976613  0.69351095 -0.65904474 -0.73688924  0.06092349 -0.17803192
 -0.19957021  0.4825914   0.06872278  0.14934894]",0.21214645,0.28807017543859653,0.7691107,0.3673817,0.3059375000000001,0.55059797
18,16,18,1,1,1,0,5838.0,[-2.0999084 -1.3389723 -2.071141 ],"[-0.7226559  -0.24553835 -0.04691458  0.03869998 -0.48937464 -0.14676571
  0.09339443 -0.7929126  -0.27461794 -0.03345066 -0.4902099   0.2213758
 -0.27480465 -0.37772974 -0.33713037  0.01078632]",0.21214645,0.28807017543859653,0.7691107,0.3673817,0.3059375000000001,0.55059797
19,16,19,1,1,1,0,5838.0,[-0.9340006  1.8100777 -1.3782085],"[ 0.93683475  0.5923541   0.9822668   0.75349164  0.2967788   0.93242395
 -0.30287135  0.6816667  -0.09720829  0.61135167  0.98628294  0.78865886
  0.81789804  0.90508765  0.91502345  0.4955305 ]",0.21214645,0.28807017543859653,0.7691107,0.3673817,0.3059375000000001,0.55059797
