,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,median_global,median_local,rmse_global,c_error_global,contractions_global,rmse_local,c_error_local,contractions_local,median
0,16,0,1,1,1,0,10000.0,[-0.13134046 -0.25603464  0.03793608],"[-0.9922843  -0.5103965  -0.59280986 -0.60482746  0.15469408  0.73821926
 -0.58134353 -0.7480036  -0.2914133  -0.83156544 -0.90950733  0.9606725
 -0.05244958  0.9567822   0.8963078   0.9913404 ]",0.18778487,0.5,nan,0.19126251,0.5,nan,
1,16,1,1,1,1,0,10000.0,[ 0.44562638  0.1551686  -0.02966171],"[-0.06991416  0.24945295 -0.25824094 -0.14808947  0.22617805  0.1361686
  0.32864404  0.16599786 -0.42720765  0.01521218 -0.28514153 -0.08009207
 -0.95992684 -0.04722136  0.3224753  -0.07147479]",0.18778487,0.5,nan,0.19126251,0.5,nan,
2,16,2,1,1,1,0,10000.0,[-0.10357023  0.113637    0.09367063],"[ 0.11907661  0.24632776  0.0521028   0.1221503   0.3438884   0.38483846
  0.383345    0.4112364  -0.25794387  0.23678887  0.30911946  0.02511752
 -0.18187493 -0.11371219  0.30374014 -0.00988042]",0.18778487,0.5,nan,0.19126251,0.5,nan,
3,16,3,1,1,1,0,10000.0,[ 0.30025697  0.22463611 -0.28754824],"[ 0.7691804   0.6443441   0.48971796  0.63968647  0.38410783  0.40967536
  0.34336877  0.4444573   0.4417516   0.43750334  0.11289644  0.21213889
  0.29375827 -0.16655213  0.43945706  0.03615963]",0.18778487,0.5,nan,0.19126251,0.5,nan,
4,16,4,1,1,1,0,10000.0,[ 0.1420087  -0.15291934  0.13926901],"[-0.7365452  -0.13467872 -0.87950295  0.38483965 -0.42797595  0.66672075
  0.23496222 -0.62853396 -0.79806715  0.3388133   0.5966294   0.12490726
  0.07024753 -0.1918382  -0.37161177 -0.84384036]",0.18778487,0.5,nan,0.19126251,0.5,nan,
5,16,5,1,1,1,0,10000.0,[0.1768126  0.16777013 0.12330104],"[0.90917313 0.72018087 0.89611566 0.8638003  0.5915376  0.78229296
 0.91890776 0.79044914 0.8627926  0.85135543 0.45201266 0.9651145
 0.91252625 0.87383425 0.86554444 0.86413634]",0.18778487,0.5,nan,0.19126251,0.5,nan,
6,16,6,1,1,1,0,10000.0,[-0.15268883 -0.08650326  0.15241957],"[ 0.18481064 -0.37138772  0.5031339  -0.2176612   0.6846597   0.95849586
  0.24359858 -0.01538056  0.77329266  0.32556236  0.51787055  0.7450273
  0.93493664 -0.27992082  0.14052641  0.19797516]",0.18778487,0.5,nan,0.19126251,0.5,nan,
7,16,7,1,1,1,0,10000.0,[0.01529315 0.04221605 0.03452874],"[ 0.50619316 -0.18977255 -0.19406694  0.43429136 -0.7415678   0.8742213
  0.52922225  0.5763211   0.36894298  0.8105205   0.69822395  0.6364225
 -0.82410324 -0.44000888 -0.9301586  -0.9745655 ]",0.18778487,0.5,nan,0.19126251,0.5,nan,
8,16,8,1,1,1,0,10000.0,[-0.2030167  -0.20821288 -0.14627075],"[-0.35080457  0.16264188 -0.3018803  -0.50428903 -0.43581247 -0.19704479
  0.5006666   0.31837535 -0.67034847 -0.9166771  -0.7153735  -0.02964526
 -0.4159565  -0.69636    -0.6900124  -0.24978209]",0.18778487,0.5,nan,0.19126251,0.5,nan,
9,16,9,1,1,1,0,10000.0,[-0.07484382 -0.05567792 -0.093408  ],"[-0.21082753  0.3601079   0.11504221  0.12171066  0.01444614 -0.41055983
 -0.5536698  -0.35279     0.3152653   0.58896935  0.59754205  0.4167986
 -0.01077151 -0.5103699   0.0358206   0.06804919]",0.18778487,0.5,nan,0.19126251,0.5,nan,
