WARNING:bayesflow:
When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use

with torch.enable_grad():
    ...

in contexts where you need gradients (e.g. custom training loops).
/home/jarruda_hpc/.conda/envs/habi/lib/python3.11/site-packages/bayesflow/diagnostics/metrics/posterior_contraction.py:59: RuntimeWarning: Degrees of freedom <= 0 for slice
  post_vars = samples["estimates"].var(axis=1, ddof=1)
/home/jarruda_hpc/.conda/envs/habi/lib/python3.11/site-packages/numpy/core/_methods.py:195: RuntimeWarning: invalid value encountered in divide
  ret = um.true_divide(
Exp: 8 Model: 8 mini_batch
Kernel type: variance_preserving, noise schedule: cosine
t_min: 0.00035210439818911254, t_max: 0.999647855758667
alpha, sigma: (tensor(1.0000), tensor(0.0006)) (tensor(0.0006), tensor(1.0000))
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|   blocks.res_blocks.0.dense.weight   |    5376    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    5376    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 276746
gaussian_flat8_1score_model_v_variance_preserving_cosine_likelihood_weighting
Training v-model for 1000 epochs with learning rate 0.0005 and likelihood_weighting weighting.
Epoch 1/1000, Loss: 16.2258, Valid Loss: 13.3315
Epoch 2/1000, Loss: 15.5246, Valid Loss: 14.3941
Epoch 3/1000, Loss: 14.8586, Valid Loss: 19.3535
Epoch 4/1000, Loss: 16.4646, Valid Loss: 13.2562
Epoch 5/1000, Loss: 14.5595, Valid Loss: 12.8840
Epoch 6/1000, Loss: 14.5832, Valid Loss: 15.6126
Epoch 7/1000, Loss: 15.0176, Valid Loss: 13.2343
Epoch 8/1000, Loss: 14.7749, Valid Loss: 14.4613
Epoch 9/1000, Loss: 15.6040, Valid Loss: 12.4881
Epoch 10/1000, Loss: 15.7431, Valid Loss: 17.4944
Epoch 11/1000, Loss: 14.7941, Valid Loss: 13.5148
Epoch 12/1000, Loss: 14.5616, Valid Loss: 13.6588
Epoch 13/1000, Loss: 15.2023, Valid Loss: 15.2962
Epoch 14/1000, Loss: 15.5106, Valid Loss: 14.4904
Epoch 15/1000, Loss: 14.7567, Valid Loss: 14.6885
Epoch 16/1000, Loss: 15.5704, Valid Loss: 15.0097
Epoch 17/1000, Loss: 15.2516, Valid Loss: 15.3030
Epoch 18/1000, Loss: 15.3064, Valid Loss: 14.5733
Epoch 19/1000, Loss: 15.1220, Valid Loss: 15.3815
Epoch 20/1000, Loss: 15.0635, Valid Loss: 18.7044
Epoch 21/1000, Loss: 15.5776, Valid Loss: 15.4208
Epoch 22/1000, Loss: 17.2776, Valid Loss: 12.1578
Epoch 23/1000, Loss: 15.6300, Valid Loss: 12.4941
Epoch 24/1000, Loss: 15.0845, Valid Loss: 17.7621
Epoch 25/1000, Loss: 14.6096, Valid Loss: 14.4123
Epoch 26/1000, Loss: 14.9465, Valid Loss: 14.6694
Epoch 27/1000, Loss: 15.3991, Valid Loss: 17.4100
Epoch 28/1000, Loss: 14.3262, Valid Loss: 18.3046
Epoch 29/1000, Loss: 14.6749, Valid Loss: 11.6820
Epoch 30/1000, Loss: 14.2060, Valid Loss: 12.9204
Epoch 31/1000, Loss: 14.7946, Valid Loss: 15.1674
Epoch 32/1000, Loss: 14.8514, Valid Loss: 13.3508
Epoch 33/1000, Loss: 14.5632, Valid Loss: 15.7169
Epoch 34/1000, Loss: 15.6410, Valid Loss: 13.4957
Epoch 35/1000, Loss: 14.8819, Valid Loss: 20.3856
Epoch 36/1000, Loss: 15.2679, Valid Loss: 17.4099
Epoch 37/1000, Loss: 14.8502, Valid Loss: 13.4439
Epoch 38/1000, Loss: 14.7869, Valid Loss: 12.1923
Epoch 39/1000, Loss: 14.3483, Valid Loss: 17.6342
Epoch 40/1000, Loss: 14.2055, Valid Loss: 15.1140
Epoch 41/1000, Loss: 14.3488, Valid Loss: 13.5920
Epoch 42/1000, Loss: 14.5673, Valid Loss: 12.3087
Epoch 43/1000, Loss: 14.4433, Valid Loss: 14.7303
Epoch 44/1000, Loss: 14.7323, Valid Loss: 12.9042
Epoch 45/1000, Loss: 14.8399, Valid Loss: 14.1307
Epoch 46/1000, Loss: 14.5081, Valid Loss: 14.1735
Epoch 47/1000, Loss: 14.3196, Valid Loss: 14.4408
Epoch 48/1000, Loss: 15.2856, Valid Loss: 18.7332
Epoch 49/1000, Loss: 15.2336, Valid Loss: 13.6225
Epoch 50/1000, Loss: 14.8236, Valid Loss: 19.0735
Epoch 51/1000, Loss: 15.2500, Valid Loss: 16.2997
Epoch 52/1000, Loss: 13.8581, Valid Loss: 14.6388
Epoch 53/1000, Loss: 14.9104, Valid Loss: 12.0512
Epoch 54/1000, Loss: 14.5797, Valid Loss: 14.6871
Epoch 55/1000, Loss: 14.3067, Valid Loss: 14.5232
Epoch 56/1000, Loss: 14.3363, Valid Loss: 15.4444
Epoch 57/1000, Loss: 14.1483, Valid Loss: 12.7462
Epoch 58/1000, Loss: 14.4641, Valid Loss: 13.6253
Epoch 59/1000, Loss: 14.4095, Valid Loss: 23.0732
Epoch 60/1000, Loss: 14.6560, Valid Loss: 11.9945
Epoch 61/1000, Loss: 14.7053, Valid Loss: 14.0149
Epoch 62/1000, Loss: 14.2003, Valid Loss: 14.2794
Epoch 63/1000, Loss: 14.1356, Valid Loss: 14.8582
Epoch 64/1000, Loss: 14.1370, Valid Loss: 12.8767
Epoch 65/1000, Loss: 14.4203, Valid Loss: 15.6326
Epoch 66/1000, Loss: 14.1079, Valid Loss: 16.1665
Epoch 67/1000, Loss: 14.3641, Valid Loss: 12.0711
Epoch 68/1000, Loss: 14.7517, Valid Loss: 16.3125
Epoch 69/1000, Loss: 14.7885, Valid Loss: 15.1427
Epoch 70/1000, Loss: 14.8743, Valid Loss: 19.4531
Epoch 71/1000, Loss: 14.6333, Valid Loss: 14.6348
Epoch 72/1000, Loss: 14.2301, Valid Loss: 12.7195
Epoch 73/1000, Loss: 15.2926, Valid Loss: 14.8263
Epoch 74/1000, Loss: 14.2952, Valid Loss: 14.4101
Epoch 75/1000, Loss: 14.4933, Valid Loss: 14.6957
Epoch 76/1000, Loss: 15.1904, Valid Loss: 14.9390
Epoch 77/1000, Loss: 14.2572, Valid Loss: 11.9375
Epoch 78/1000, Loss: 14.8133, Valid Loss: 16.2892
Epoch 79/1000, Loss: 14.7215, Valid Loss: 14.5516
Epoch 80/1000, Loss: 14.1896, Valid Loss: 14.4885
Epoch 81/1000, Loss: 14.1797, Valid Loss: 16.1150
Epoch 82/1000, Loss: 14.3041, Valid Loss: 18.3511
Epoch 83/1000, Loss: 14.4025, Valid Loss: 13.1764
Epoch 84/1000, Loss: 13.9696, Valid Loss: 13.0304
Epoch 85/1000, Loss: 14.4515, Valid Loss: 14.4508
Epoch 86/1000, Loss: 15.0440, Valid Loss: 16.1285
Epoch 87/1000, Loss: 15.3881, Valid Loss: 14.2346
Epoch 88/1000, Loss: 13.6543, Valid Loss: 15.5661
Epoch 89/1000, Loss: 14.5412, Valid Loss: 17.1415
Epoch 90/1000, Loss: 14.0889, Valid Loss: 13.9201
Epoch 91/1000, Loss: 14.1580, Valid Loss: 18.3018
Epoch 92/1000, Loss: 14.3312, Valid Loss: 14.8455
Epoch 93/1000, Loss: 14.9092, Valid Loss: 13.6998
Epoch 94/1000, Loss: 14.8827, Valid Loss: 15.0232
Epoch 95/1000, Loss: 15.0376, Valid Loss: 13.9643
Epoch 96/1000, Loss: 14.0534, Valid Loss: 16.1310
Epoch 97/1000, Loss: 14.4366, Valid Loss: 15.9297
Epoch 98/1000, Loss: 15.2348, Valid Loss: 16.4516
Epoch 99/1000, Loss: 15.4714, Valid Loss: 17.9319
