WARNING:bayesflow:
When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use

with torch.enable_grad():
    ...

in contexts where you need gradients (e.g. custom training loops).
/home/jarruda_hpc/.conda/envs/habi/lib/python3.11/site-packages/bayesflow/diagnostics/metrics/posterior_contraction.py:59: RuntimeWarning: Degrees of freedom <= 0 for slice
  post_vars = samples["estimates"].var(axis=1, ddof=1)
/home/jarruda_hpc/.conda/envs/habi/lib/python3.11/site-packages/numpy/core/_methods.py:195: RuntimeWarning: invalid value encountered in divide
  ret = um.true_divide(
Exp: 2 Model: 2 mini_batch
Kernel type: variance_preserving, noise schedule: cosine
t_min: 0.00035210439818911254, t_max: 0.999647855758667
alpha, sigma: (tensor(1.0000), tensor(0.0006)) (tensor(0.0006), tensor(1.0000))
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|   blocks.res_blocks.0.dense.weight   |    5376    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    5376    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 276746
gaussian_flat2_1score_model_v_variance_preserving_cosine_likelihood_weighting
Training v-model for 1000 epochs with learning rate 0.0005 and likelihood_weighting weighting.
Epoch 1/1000, Loss: 15.9006, Valid Loss: 14.5384
Epoch 2/1000, Loss: 15.9432, Valid Loss: 16.5919
Epoch 3/1000, Loss: 15.6018, Valid Loss: 14.3248
Epoch 4/1000, Loss: 14.9211, Valid Loss: 12.7540
Epoch 5/1000, Loss: 15.6458, Valid Loss: 19.6056
Epoch 6/1000, Loss: 17.4276, Valid Loss: 24.3503
Epoch 7/1000, Loss: 14.4222, Valid Loss: 13.1697
Epoch 8/1000, Loss: 14.9208, Valid Loss: 14.0076
Epoch 9/1000, Loss: 14.5580, Valid Loss: 16.3894
Epoch 10/1000, Loss: 15.7938, Valid Loss: 12.6560
Epoch 11/1000, Loss: 14.6514, Valid Loss: 13.9816
Epoch 12/1000, Loss: 15.5905, Valid Loss: 19.5583
Epoch 13/1000, Loss: 15.4830, Valid Loss: 14.1232
Epoch 14/1000, Loss: 14.5334, Valid Loss: 15.4668
Epoch 15/1000, Loss: 14.2894, Valid Loss: 13.3182
Epoch 16/1000, Loss: 15.7642, Valid Loss: 14.4620
Epoch 17/1000, Loss: 14.0602, Valid Loss: 12.6292
Epoch 18/1000, Loss: 14.2582, Valid Loss: 15.9105
Epoch 19/1000, Loss: 14.8503, Valid Loss: 13.9486
Epoch 20/1000, Loss: 15.1839, Valid Loss: 15.7723
Epoch 21/1000, Loss: 15.3206, Valid Loss: 19.7548
Epoch 22/1000, Loss: 15.0940, Valid Loss: 14.1814
Epoch 23/1000, Loss: 14.8970, Valid Loss: 13.0122
Epoch 24/1000, Loss: 15.2505, Valid Loss: 17.0450
Epoch 25/1000, Loss: 15.2060, Valid Loss: 16.2412
Epoch 26/1000, Loss: 15.1167, Valid Loss: 13.9945
Epoch 27/1000, Loss: 15.0678, Valid Loss: 14.3607
Epoch 28/1000, Loss: 13.9524, Valid Loss: 16.7240
Epoch 29/1000, Loss: 14.4940, Valid Loss: 13.1296
Epoch 30/1000, Loss: 15.1111, Valid Loss: 14.7159
Epoch 31/1000, Loss: 14.3266, Valid Loss: 16.1568
Epoch 32/1000, Loss: 14.5135, Valid Loss: 13.5757
Epoch 33/1000, Loss: 14.7586, Valid Loss: 15.7047
Epoch 34/1000, Loss: 15.4066, Valid Loss: 12.2838
Epoch 35/1000, Loss: 15.8833, Valid Loss: 17.3912
Epoch 36/1000, Loss: 14.7724, Valid Loss: 15.9550
Epoch 37/1000, Loss: 14.8396, Valid Loss: 12.5787
Epoch 38/1000, Loss: 13.6947, Valid Loss: 15.0458
Epoch 39/1000, Loss: 16.2642, Valid Loss: 15.4734
Epoch 40/1000, Loss: 14.0166, Valid Loss: 12.9414
Epoch 41/1000, Loss: 14.8412, Valid Loss: 14.7860
Epoch 42/1000, Loss: 14.9986, Valid Loss: 14.0136
Epoch 43/1000, Loss: 15.3419, Valid Loss: 13.4773
Epoch 44/1000, Loss: 14.7131, Valid Loss: 14.2416
Epoch 45/1000, Loss: 15.6492, Valid Loss: 13.4167
Epoch 46/1000, Loss: 14.4543, Valid Loss: 17.7999
Epoch 47/1000, Loss: 15.0180, Valid Loss: 15.4108
Epoch 48/1000, Loss: 14.8014, Valid Loss: 15.6507
Epoch 49/1000, Loss: 13.5240, Valid Loss: 13.1512
Epoch 50/1000, Loss: 15.5300, Valid Loss: 13.0762
Epoch 51/1000, Loss: 16.2438, Valid Loss: 14.3961
Epoch 52/1000, Loss: 14.8554, Valid Loss: 13.2890
Epoch 53/1000, Loss: 15.1925, Valid Loss: 21.4680
Epoch 54/1000, Loss: 14.4539, Valid Loss: 13.1157
Epoch 55/1000, Loss: 14.6105, Valid Loss: 13.2258
Epoch 56/1000, Loss: 14.6267, Valid Loss: 12.2369
Epoch 57/1000, Loss: 15.1214, Valid Loss: 20.4410
Epoch 58/1000, Loss: 14.6639, Valid Loss: 12.5409
Epoch 59/1000, Loss: 15.3735, Valid Loss: 13.0962
Epoch 60/1000, Loss: 15.3296, Valid Loss: 14.4057
Epoch 61/1000, Loss: 14.5843, Valid Loss: 11.1101
Epoch 62/1000, Loss: 15.2759, Valid Loss: 14.7948
Epoch 63/1000, Loss: 14.4005, Valid Loss: 11.8481
Epoch 64/1000, Loss: 15.4459, Valid Loss: 14.0799
Epoch 65/1000, Loss: 14.6177, Valid Loss: 15.3981
Epoch 66/1000, Loss: 14.7428, Valid Loss: 15.1830
Epoch 67/1000, Loss: 15.3716, Valid Loss: 16.5063
Epoch 68/1000, Loss: 16.0632, Valid Loss: 15.7179
Epoch 69/1000, Loss: 14.9988, Valid Loss: 15.3433
Epoch 70/1000, Loss: 15.6629, Valid Loss: 13.9827
Epoch 71/1000, Loss: 14.9860, Valid Loss: 13.2025
Epoch 72/1000, Loss: 14.1944, Valid Loss: 13.0700
Epoch 73/1000, Loss: 13.7855, Valid Loss: 14.3753
Epoch 74/1000, Loss: 15.2442, Valid Loss: 13.1455
Epoch 75/1000, Loss: 14.9473, Valid Loss: 13.6747
Epoch 76/1000, Loss: 13.7140, Valid Loss: 19.0818
Epoch 77/1000, Loss: 14.4396, Valid Loss: 13.3619
Epoch 78/1000, Loss: 14.0078, Valid Loss: 13.4404
Epoch 79/1000, Loss: 13.6544, Valid Loss: 11.3820
Epoch 80/1000, Loss: 14.6380, Valid Loss: 12.3746
Epoch 81/1000, Loss: 14.4502, Valid Loss: 13.4223
Epoch 82/1000, Loss: 13.8167, Valid Loss: 13.3804
Epoch 83/1000, Loss: 14.1472, Valid Loss: 12.9329
Epoch 84/1000, Loss: 15.0864, Valid Loss: 12.8618
Epoch 85/1000, Loss: 14.8766, Valid Loss: 20.8505
Epoch 86/1000, Loss: 14.6598, Valid Loss: 12.3065
Epoch 87/1000, Loss: 13.9812, Valid Loss: 14.3175
Epoch 88/1000, Loss: 14.5593, Valid Loss: 13.1013
Epoch 89/1000, Loss: 14.6594, Valid Loss: 16.8037
Epoch 90/1000, Loss: 13.9902, Valid Loss: 15.6203
Epoch 91/1000, Loss: 14.9347, Valid Loss: 12.7820
Epoch 92/1000, Loss: 13.4098, Valid Loss: 12.2267
Epoch 93/1000, Loss: 14.0757, Valid Loss: 12.9501
Epoch 94/1000, Loss: 15.4021, Valid Loss: 13.2023
Epoch 95/1000, Loss: 15.0698, Valid Loss: 14.6537
Epoch 96/1000, Loss: 13.5227, Valid Loss: 15.3103
Epoch 97/1000, Loss: 15.2531, Valid Loss: 16.7757
Epoch 98/1000, Loss: 15.0363, Valid Loss: 13.5142
Epoch 99/1000, Loss: 14.1843, Valid Loss: 12.8225
Epoch 100/1000, Loss: 14.8158, Valid Loss: 12.0859
Epoch 101/1000, Loss: 14.2328, Valid Loss: 12.7201
Epoch 102/1000, Loss: 14.2881, Valid Loss: 14.8625
Epoch 103/1000, Loss: 14.5437, Valid Loss: 14.3000
Epoch 104/1000, Loss: 14.2355, Valid Loss: 15.0236
Epoch 105/1000, Loss: 14.2802, Valid Loss: 13.7007
Epoch 106/1000, Loss: 14.5235, Valid Loss: 13.1784
Epoch 107/1000, Loss: 14.0913, Valid Loss: 14.5885
Epoch 108/1000, Loss: 15.0223, Valid Loss: 19.5952
Epoch 109/1000, Loss: 14.3503, Valid Loss: 16.8362
Epoch 110/1000, Loss: 16.0890, Valid Loss: 16.5042
Epoch 111/1000, Loss: 14.8302, Valid Loss: 17.1242
Epoch 112/1000, Loss: 14.1088, Valid Loss: 14.9042
Epoch 113/1000, Loss: 13.8640, Valid Loss: 15.3683
Epoch 114/1000, Loss: 14.5980, Valid Loss: 15.3182
Epoch 115/1000, Loss: 14.6720, Valid Loss: 16.6577
Epoch 116/1000, Loss: 14.9776, Valid Loss: 14.8474
Epoch 117/1000, Loss: 13.8817, Valid Loss: 12.0696
Epoch 118/1000, Loss: 13.8066, Valid Loss: 13.5356
Epoch 119/1000, Loss: 14.0629, Valid Loss: 13.0844
Epoch 120/1000, Loss: 13.7880, Valid Loss: 11.2594
Epoch 121/1000, Loss: 13.6881, Valid Loss: 11.5038
Epoch 122/1000, Loss: 14.0437, Valid Loss: 14.0490
Epoch 123/1000, Loss: 14.0941, Valid Loss: 16.2500
Epoch 124/1000, Loss: 14.6365, Valid Loss: 12.6146
Epoch 125/1000, Loss: 13.9677, Valid Loss: 12.3507
Epoch 126/1000, Loss: 14.8055, Valid Loss: 15.3937
Epoch 127/1000, Loss: 14.4084, Valid Loss: 18.6272
Epoch 128/1000, Loss: 14.5476, Valid Loss: 18.9262
Epoch 129/1000, Loss: 14.0573, Valid Loss: 16.8273
Epoch 130/1000, Loss: 13.9423, Valid Loss: 14.9392
Epoch 131/1000, Loss: 14.3004, Valid Loss: 12.2800
Epoch 132/1000, Loss: 14.1234, Valid Loss: 13.9314
Epoch 133/1000, Loss: 14.2376, Valid Loss: 14.2571
Epoch 134/1000, Loss: 14.1841, Valid Loss: 20.9423
Epoch 135/1000, Loss: 14.7280, Valid Loss: 12.9460
Epoch 136/1000, Loss: 13.4867, Valid Loss: 14.0643
Epoch 137/1000, Loss: 14.6128, Valid Loss: 15.4481
Epoch 138/1000, Loss: 14.0341, Valid Loss: 17.2945
Epoch 139/1000, Loss: 14.1412, Valid Loss: 13.7973
Epoch 140/1000, Loss: 15.7118, Valid Loss: 11.9430
Epoch 141/1000, Loss: 13.9559, Valid Loss: 22.5343
Epoch 142/1000, Loss: 14.0685, Valid Loss: 15.0796
Epoch 143/1000, Loss: 14.2105, Valid Loss: 14.4531
Epoch 144/1000, Loss: 14.1292, Valid Loss: 13.7902
Epoch 145/1000, Loss: 14.7429, Valid Loss: 13.9003
Epoch 146/1000, Loss: 14.4509, Valid Loss: 18.7980
Epoch 147/1000, Loss: 14.3449, Valid Loss: 10.8789
Epoch 148/1000, Loss: 15.1051, Valid Loss: 13.1757
Epoch 149/1000, Loss: 13.7142, Valid Loss: 11.7628
Epoch 150/1000, Loss: 13.7731, Valid Loss: 19.9501
