
The following have been reloaded with a version change:
  1) linux-rocky8-x86_64/gcc/12.2.0/libxml2/2.10.3-h6soa57 => linux-rocky8-x86_64/gcc/12.2.0/libxml2/2.10.3-w7ngxar
  2) linux-rocky8-x86_64/gcc/12.2.0/xz/5.4.1-cqof5qs => linux-rocky8-x86_64/gcc/12.2.0/xz/5.4.1-c5gajon

WARNING:bayesflow:When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use
with torch.enable_grad():
in contexts where you need gradients (e.g. custom training loops).
/home/jonas/hierarchical-abi/.venv/lib/python3.11/site-packages/bayesflow/diagnostics/metrics/posterior_contraction.py:59: RuntimeWarning: Degrees of freedom <= 0 for slice
  post_vars = samples["estimates"].var(axis=1, ddof=1)
/home/jonas/hierarchical-abi/.venv/lib/python3.11/site-packages/numpy/core/_methods.py:195: RuntimeWarning: invalid value encountered in divide
  ret = um.true_divide(
Exp: 0 Model: 0 mini_batch
Kernel type: variance_preserving, noise schedule: cosine
t_min: 0.00035210439818911254, t_max: 0.999647855758667
alpha, sigma: (tensor(1.0000), tensor(0.0006)) (tensor(0.0006), tensor(1.0000))
Moving prior to device: cpu
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|        time_embedding.0.scale        |     1      |
|       time_embedding.1.weight        |     64     |
|        time_embedding.1.bias         |     8      |
|   blocks.res_blocks.0.dense.weight   |    7168    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    7168    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 280403
gaussian_flat0_1score_model_v_variance_preserving_cosine_likelihood_weighting
Training v-model for 1000 epochs with learning rate 0.0005 and likelihood_weighting weighting.
Epoch 1/1000, Loss: 15.9767, Valid Loss: 15.1354
Epoch 2/1000, Loss: 15.5501, Valid Loss: 16.5178
Epoch 3/1000, Loss: 14.7834, Valid Loss: 16.2276
Epoch 4/1000, Loss: 15.9084, Valid Loss: 16.8969
Epoch 5/1000, Loss: 15.4251, Valid Loss: 12.2249
Epoch 6/1000, Loss: 15.3619, Valid Loss: 12.6428
Epoch 7/1000, Loss: 15.4209, Valid Loss: 11.8525
Epoch 8/1000, Loss: 14.4623, Valid Loss: 13.2832
Epoch 9/1000, Loss: 15.6002, Valid Loss: 17.3966
Epoch 10/1000, Loss: 14.7320, Valid Loss: 15.8615
Epoch 11/1000, Loss: 15.3893, Valid Loss: 15.7632
Epoch 12/1000, Loss: 14.6459, Valid Loss: 13.9668
Epoch 13/1000, Loss: 14.8420, Valid Loss: 14.0168
Epoch 14/1000, Loss: 14.6059, Valid Loss: 16.0438
Epoch 15/1000, Loss: 14.6995, Valid Loss: 13.5670
Epoch 16/1000, Loss: 14.9496, Valid Loss: 19.5694
Epoch 17/1000, Loss: 14.3483, Valid Loss: 13.7791
Epoch 18/1000, Loss: 14.9871, Valid Loss: 23.9533
Epoch 19/1000, Loss: 14.6940, Valid Loss: 21.1714
Epoch 20/1000, Loss: 15.1773, Valid Loss: 14.5040
Epoch 21/1000, Loss: 15.0529, Valid Loss: 17.1502
Epoch 22/1000, Loss: 14.2360, Valid Loss: 15.6499
Epoch 23/1000, Loss: 14.0610, Valid Loss: 19.1545
Epoch 24/1000, Loss: 15.2043, Valid Loss: 12.8645
Epoch 25/1000, Loss: 14.3743, Valid Loss: 14.5402
Epoch 26/1000, Loss: 14.8157, Valid Loss: 14.9905
Epoch 27/1000, Loss: 14.0077, Valid Loss: 13.8003
Epoch 28/1000, Loss: 14.3507, Valid Loss: 15.6660
Epoch 29/1000, Loss: 14.9131, Valid Loss: 12.0918
Epoch 30/1000, Loss: 14.4630, Valid Loss: 14.9145
Epoch 31/1000, Loss: 15.9821, Valid Loss: 14.5821
Epoch 32/1000, Loss: 14.0857, Valid Loss: 13.1953
Epoch 33/1000, Loss: 14.0794, Valid Loss: 17.7159
Epoch 34/1000, Loss: 15.1864, Valid Loss: 14.2448
Epoch 35/1000, Loss: 14.8127, Valid Loss: 13.4923
Epoch 36/1000, Loss: 14.7644, Valid Loss: 18.4350
Epoch 37/1000, Loss: 15.2234, Valid Loss: 13.9109
Epoch 38/1000, Loss: 14.5071, Valid Loss: 14.1574
Epoch 39/1000, Loss: 14.2577, Valid Loss: 14.6882
Epoch 40/1000, Loss: 15.8598, Valid Loss: 17.0622
Epoch 41/1000, Loss: 15.1700, Valid Loss: 15.6435
Epoch 42/1000, Loss: 15.4966, Valid Loss: 13.2373
Epoch 43/1000, Loss: 14.6873, Valid Loss: 13.0066
Epoch 44/1000, Loss: 14.2378, Valid Loss: 14.8494
Epoch 45/1000, Loss: 15.2761, Valid Loss: 15.7754
Epoch 46/1000, Loss: 14.4380, Valid Loss: 15.1592
Epoch 47/1000, Loss: 14.4421, Valid Loss: 14.8490
Epoch 48/1000, Loss: 14.6150, Valid Loss: 13.3377
Epoch 49/1000, Loss: 14.6353, Valid Loss: 17.3336
Epoch 50/1000, Loss: 14.2593, Valid Loss: 13.6095
Epoch 51/1000, Loss: 14.4860, Valid Loss: 18.2670
Epoch 52/1000, Loss: 15.3742, Valid Loss: 15.2022
Epoch 53/1000, Loss: 15.5417, Valid Loss: 17.0666
Epoch 54/1000, Loss: 16.1074, Valid Loss: 12.5697
Epoch 55/1000, Loss: 14.1196, Valid Loss: 13.2255
Epoch 56/1000, Loss: 14.3866, Valid Loss: 12.3655
Epoch 57/1000, Loss: 14.5567, Valid Loss: 17.7488
Epoch 58/1000, Loss: 15.1635, Valid Loss: 15.4508
Epoch 59/1000, Loss: 15.8685, Valid Loss: 19.7360
Epoch 60/1000, Loss: 14.6854, Valid Loss: 12.7885
Epoch 61/1000, Loss: 14.3170, Valid Loss: 15.0855
Epoch 62/1000, Loss: 15.2005, Valid Loss: 14.8032
Epoch 63/1000, Loss: 14.9480, Valid Loss: 13.0363
Epoch 64/1000, Loss: 13.5002, Valid Loss: 19.7434
Epoch 65/1000, Loss: 14.4134, Valid Loss: 15.6606
Epoch 66/1000, Loss: 15.4476, Valid Loss: 13.0161
Epoch 67/1000, Loss: 14.2010, Valid Loss: 13.5844
Epoch 68/1000, Loss: 14.5236, Valid Loss: 12.9753
Epoch 69/1000, Loss: 15.7283, Valid Loss: 15.3785
Epoch 70/1000, Loss: 15.5869, Valid Loss: 16.5256
Epoch 71/1000, Loss: 15.2660, Valid Loss: 16.7937
Epoch 72/1000, Loss: 15.7176, Valid Loss: 13.1421
Epoch 73/1000, Loss: 15.0333, Valid Loss: 15.6474
Epoch 74/1000, Loss: 14.5608, Valid Loss: 14.8622
Epoch 75/1000, Loss: 14.5543, Valid Loss: 12.7292
Epoch 76/1000, Loss: 16.0157, Valid Loss: 15.9513
Epoch 77/1000, Loss: 15.2173, Valid Loss: 14.5892
Epoch 78/1000, Loss: 14.6800, Valid Loss: 13.8425
Epoch 79/1000, Loss: 15.6624, Valid Loss: 15.7860
Epoch 80/1000, Loss: 14.5551, Valid Loss: 13.2286
Epoch 81/1000, Loss: 15.9576, Valid Loss: 14.0568
Epoch 82/1000, Loss: 18.7430, Valid Loss: 14.6744
Epoch 83/1000, Loss: 15.1846, Valid Loss: 12.0839
Epoch 84/1000, Loss: 14.9682, Valid Loss: 14.5030
Epoch 85/1000, Loss: 15.0822, Valid Loss: 12.9470
Epoch 86/1000, Loss: 15.6723, Valid Loss: 12.8176
Epoch 87/1000, Loss: 14.5328, Valid Loss: 12.0418
Epoch 88/1000, Loss: 15.0334, Valid Loss: 14.6776
Epoch 89/1000, Loss: 14.6782, Valid Loss: 11.5137
Epoch 90/1000, Loss: 14.7600, Valid Loss: 14.1941
Epoch 91/1000, Loss: 14.9891, Valid Loss: 14.9426
Epoch 92/1000, Loss: 14.8634, Valid Loss: 15.0993
Epoch 93/1000, Loss: 14.9715, Valid Loss: 13.2562
Epoch 94/1000, Loss: 15.5235, Valid Loss: 12.8533
Epoch 95/1000, Loss: 15.3786, Valid Loss: 23.6981
Epoch 96/1000, Loss: 14.5332, Valid Loss: 12.6968
Epoch 97/1000, Loss: 15.1779, Valid Loss: 16.8759
Epoch 98/1000, Loss: 14.6499, Valid Loss: 18.1730
Epoch 99/1000, Loss: 15.5442, Valid Loss: 14.6843
Epoch 100/1000, Loss: 14.6150, Valid Loss: 12.5118
Epoch 101/1000, Loss: 15.3758, Valid Loss: 12.0732
Epoch 102/1000, Loss: 15.7199, Valid Loss: 12.6899
Epoch 103/1000, Loss: 14.6833, Valid Loss: 14.3081
Epoch 104/1000, Loss: 14.8999, Valid Loss: 12.5993
Epoch 105/1000, Loss: 14.0970, Valid Loss: 14.7998
Epoch 106/1000, Loss: 14.5328, Valid Loss: 14.7314
Epoch 107/1000, Loss: 13.9460, Valid Loss: 12.7584
Epoch 108/1000, Loss: 14.5902, Valid Loss: 13.6388
Epoch 109/1000, Loss: 15.3376, Valid Loss: 13.0812
Epoch 110/1000, Loss: 14.0721, Valid Loss: 11.5320
Epoch 111/1000, Loss: 14.5328, Valid Loss: 13.7053
Epoch 112/1000, Loss: 14.6872, Valid Loss: 13.6048
Epoch 113/1000, Loss: 14.7880, Valid Loss: 14.1169
Epoch 114/1000, Loss: 14.6094, Valid Loss: 14.3263
Epoch 115/1000, Loss: 14.9195, Valid Loss: 14.5962
Epoch 116/1000, Loss: 14.0149, Valid Loss: 12.5867
Epoch 117/1000, Loss: 15.3862, Valid Loss: 13.5591
Epoch 118/1000, Loss: 15.8583, Valid Loss: 13.7144
Epoch 119/1000, Loss: 15.1314, Valid Loss: 15.6584
Epoch 120/1000, Loss: 14.3586, Valid Loss: 17.1976
Epoch 121/1000, Loss: 14.9330, Valid Loss: 14.0794
Epoch 122/1000, Loss: 14.3734, Valid Loss: 15.8365
Epoch 123/1000, Loss: 15.3236, Valid Loss: 13.7598
Epoch 124/1000, Loss: 14.5769, Valid Loss: 17.6654
Epoch 125/1000, Loss: 14.8043, Valid Loss: 12.0450
Epoch 126/1000, Loss: 15.1972, Valid Loss: 14.9916
Epoch 127/1000, Loss: 15.1352, Valid Loss: 14.4536
Epoch 128/1000, Loss: 14.6953, Valid Loss: 15.2042
Epoch 129/1000, Loss: 14.5974, Valid Loss: 14.1292
Epoch 130/1000, Loss: 16.2347, Valid Loss: 12.5050
Epoch 131/1000, Loss: 14.6823, Valid Loss: 15.2136
Epoch 132/1000, Loss: 15.3455, Valid Loss: 13.2081
Epoch 133/1000, Loss: 14.8572, Valid Loss: 19.8994
Epoch 134/1000, Loss: 13.9651, Valid Loss: 16.4062
Epoch 135/1000, Loss: 15.6268, Valid Loss: 16.8917
Epoch 136/1000, Loss: 15.4974, Valid Loss: 16.6688
Epoch 137/1000, Loss: 14.1934, Valid Loss: 11.7485
Epoch 138/1000, Loss: 14.6106, Valid Loss: 13.5859
Epoch 139/1000, Loss: 13.9244, Valid Loss: 12.8302
Epoch 140/1000, Loss: 14.5362, Valid Loss: 14.3165
Epoch 141/1000, Loss: 14.7475, Valid Loss: 19.9430
Epoch 142/1000, Loss: 13.9256, Valid Loss: 13.9138
Epoch 143/1000, Loss: 14.5772, Valid Loss: 12.0887
Epoch 144/1000, Loss: 15.0120, Valid Loss: 15.6415
Epoch 145/1000, Loss: 14.8126, Valid Loss: 12.4956
Epoch 146/1000, Loss: 15.5271, Valid Loss: 16.2356
Epoch 147/1000, Loss: 14.0657, Valid Loss: 15.7078
Epoch 148/1000, Loss: 14.9789, Valid Loss: 20.6711
Epoch 149/1000, Loss: 14.2946, Valid Loss: 14.7245
Epoch 150/1000, Loss: 14.3395, Valid Loss: 13.8988
Epoch 151/1000, Loss: 14.5433, Valid Loss: 16.8031
Epoch 152/1000, Loss: 15.4751, Valid Loss: 17.7627
Epoch 153/1000, Loss: 14.4962, Valid Loss: 12.5154
Epoch 154/1000, Loss: 14.7759, Valid Loss: 14.7251
Epoch 155/1000, Loss: 14.5283, Valid Loss: 11.6811
