WARNING:bayesflow:
When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use

with torch.enable_grad():
    ...

in contexts where you need gradients (e.g. custom training loops).
/home/jarruda_hpc/.conda/envs/habi/lib/python3.11/site-packages/bayesflow/diagnostics/metrics/posterior_contraction.py:59: RuntimeWarning: Degrees of freedom <= 0 for slice
  post_vars = samples["estimates"].var(axis=1, ddof=1)
/home/jarruda_hpc/.conda/envs/habi/lib/python3.11/site-packages/numpy/core/_methods.py:195: RuntimeWarning: invalid value encountered in divide
  ret = um.true_divide(
Exp: 0 Model: 0 mini_batch
Kernel type: variance_preserving, noise schedule: cosine
t_min: 0.00035210439818911254, t_max: 0.999647855758667
alpha, sigma: (tensor(1.0000), tensor(0.0006)) (tensor(0.0006), tensor(1.0000))
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|   blocks.res_blocks.0.dense.weight   |    5376    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    5376    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 276746
gaussian_flat0_1score_model_v_variance_preserving_cosine_likelihood_weighting
Training v-model for 1000 epochs with learning rate 0.0005 and likelihood_weighting weighting.
Epoch 1/1000, Loss: 16.2219, Valid Loss: 16.3094
Epoch 2/1000, Loss: 15.1076, Valid Loss: 18.6548
Epoch 3/1000, Loss: 15.7172, Valid Loss: 15.0455
Epoch 4/1000, Loss: 16.0213, Valid Loss: 16.8631
Epoch 5/1000, Loss: 15.4534, Valid Loss: 19.0241
Epoch 6/1000, Loss: 16.8131, Valid Loss: 13.6442
Epoch 7/1000, Loss: 15.0895, Valid Loss: 13.7557
Epoch 8/1000, Loss: 15.0859, Valid Loss: 17.5059
Epoch 9/1000, Loss: 14.5527, Valid Loss: 14.6443
Epoch 10/1000, Loss: 15.0639, Valid Loss: 14.4130
Epoch 11/1000, Loss: 14.3152, Valid Loss: 13.9318
Epoch 12/1000, Loss: 15.3687, Valid Loss: 13.3311
Epoch 13/1000, Loss: 14.6064, Valid Loss: 13.0185
Epoch 14/1000, Loss: 14.2905, Valid Loss: 13.8455
Epoch 15/1000, Loss: 14.8780, Valid Loss: 14.3864
Epoch 16/1000, Loss: 15.4731, Valid Loss: 16.4369
Epoch 17/1000, Loss: 14.3857, Valid Loss: 14.5387
Epoch 18/1000, Loss: 14.0331, Valid Loss: 15.1986
Epoch 19/1000, Loss: 15.4300, Valid Loss: 13.8689
Epoch 20/1000, Loss: 14.4665, Valid Loss: 20.4222
Epoch 21/1000, Loss: 14.3890, Valid Loss: 10.6821
Epoch 22/1000, Loss: 15.0888, Valid Loss: 14.4243
Epoch 23/1000, Loss: 15.5620, Valid Loss: 19.3822
Epoch 24/1000, Loss: 14.1192, Valid Loss: 12.3465
Epoch 25/1000, Loss: 15.0065, Valid Loss: 14.4213
Epoch 26/1000, Loss: 15.6595, Valid Loss: 13.1440
Epoch 27/1000, Loss: 14.6609, Valid Loss: 14.5865
Epoch 28/1000, Loss: 14.7033, Valid Loss: 16.0160
Epoch 29/1000, Loss: 15.0496, Valid Loss: 17.6963
Epoch 30/1000, Loss: 14.5477, Valid Loss: 13.1862
Epoch 31/1000, Loss: 14.9336, Valid Loss: 13.3896
Epoch 32/1000, Loss: 14.5558, Valid Loss: 14.0099
Epoch 33/1000, Loss: 14.8244, Valid Loss: 13.6010
Epoch 34/1000, Loss: 15.1064, Valid Loss: 11.2679
Epoch 35/1000, Loss: 15.3047, Valid Loss: 16.4359
Epoch 36/1000, Loss: 14.0751, Valid Loss: 20.0313
Epoch 37/1000, Loss: 14.5488, Valid Loss: 13.9194
Epoch 38/1000, Loss: 15.8890, Valid Loss: 14.2623
Epoch 39/1000, Loss: 14.5012, Valid Loss: 12.9242
Epoch 40/1000, Loss: 14.6988, Valid Loss: 14.1478
Epoch 41/1000, Loss: 13.9643, Valid Loss: 12.0081
Epoch 42/1000, Loss: 14.9003, Valid Loss: 17.1942
Epoch 43/1000, Loss: 14.0397, Valid Loss: 16.2672
Epoch 44/1000, Loss: 14.6147, Valid Loss: 16.7456
Epoch 45/1000, Loss: 15.6181, Valid Loss: 15.7998
Epoch 46/1000, Loss: 14.3381, Valid Loss: 14.9926
Epoch 47/1000, Loss: 14.4824, Valid Loss: 13.9439
Epoch 48/1000, Loss: 14.4216, Valid Loss: 12.9869
Epoch 49/1000, Loss: 14.1727, Valid Loss: 12.9610
Epoch 50/1000, Loss: 16.9476, Valid Loss: 15.6241
Epoch 51/1000, Loss: 16.3655, Valid Loss: 19.0945
Epoch 52/1000, Loss: 15.0005, Valid Loss: 13.6557
Epoch 53/1000, Loss: 14.8129, Valid Loss: 19.3616
Epoch 54/1000, Loss: 15.2530, Valid Loss: 16.7500
Epoch 55/1000, Loss: 15.0157, Valid Loss: 18.5708
Epoch 56/1000, Loss: 16.1679, Valid Loss: 15.1212
Epoch 57/1000, Loss: 14.7908, Valid Loss: 16.3611
Epoch 58/1000, Loss: 14.2899, Valid Loss: 15.2496
Epoch 59/1000, Loss: 14.7465, Valid Loss: 13.6660
Epoch 60/1000, Loss: 15.0091, Valid Loss: 12.0635
Epoch 61/1000, Loss: 14.7003, Valid Loss: 16.6857
Epoch 62/1000, Loss: 14.3020, Valid Loss: 15.7545
Epoch 63/1000, Loss: 14.1224, Valid Loss: 13.5348
Epoch 64/1000, Loss: 15.1287, Valid Loss: 15.5776
Epoch 65/1000, Loss: 14.3101, Valid Loss: 13.4191
Epoch 66/1000, Loss: 15.3395, Valid Loss: 14.6815
Epoch 67/1000, Loss: 13.9851, Valid Loss: 14.2440
Epoch 68/1000, Loss: 14.6032, Valid Loss: 14.1865
Epoch 69/1000, Loss: 15.4411, Valid Loss: 12.5246
Epoch 70/1000, Loss: 14.3900, Valid Loss: 13.2494
Epoch 71/1000, Loss: 13.9406, Valid Loss: 11.7539
Epoch 72/1000, Loss: 14.3639, Valid Loss: 14.3526
Epoch 73/1000, Loss: 14.1575, Valid Loss: 15.6434
Epoch 74/1000, Loss: 14.5349, Valid Loss: 15.6172
Epoch 75/1000, Loss: 14.6877, Valid Loss: 17.6114
Epoch 76/1000, Loss: 14.2475, Valid Loss: 17.8813
Epoch 77/1000, Loss: 17.2150, Valid Loss: 13.8763
Epoch 78/1000, Loss: 14.6599, Valid Loss: 13.6623
Epoch 79/1000, Loss: 14.1587, Valid Loss: 19.8723
Epoch 80/1000, Loss: 14.0129, Valid Loss: 12.5229
Epoch 81/1000, Loss: 14.0736, Valid Loss: 14.8469
Epoch 82/1000, Loss: 14.5717, Valid Loss: 16.0547
Epoch 83/1000, Loss: 15.2455, Valid Loss: 14.4602
Epoch 84/1000, Loss: 14.1905, Valid Loss: 13.3980
Epoch 85/1000, Loss: 15.5382, Valid Loss: 12.3668
Epoch 86/1000, Loss: 14.1962, Valid Loss: 12.8516
Epoch 87/1000, Loss: 14.4287, Valid Loss: 13.0709
Epoch 88/1000, Loss: 14.8305, Valid Loss: 21.6242
Epoch 89/1000, Loss: 14.2486, Valid Loss: 11.8723
Epoch 90/1000, Loss: 14.0977, Valid Loss: 14.5716
Epoch 91/1000, Loss: 15.1020, Valid Loss: 14.7392
Epoch 92/1000, Loss: 14.2900, Valid Loss: 13.2923
Epoch 93/1000, Loss: 15.2235, Valid Loss: 12.7204
Epoch 94/1000, Loss: 15.9571, Valid Loss: 13.1173
Epoch 95/1000, Loss: 14.6397, Valid Loss: 12.1600
Epoch 96/1000, Loss: 14.1687, Valid Loss: 12.3550
Epoch 97/1000, Loss: 14.1324, Valid Loss: 15.6973
Epoch 98/1000, Loss: 15.0357, Valid Loss: 14.8089
Epoch 99/1000, Loss: 14.3907, Valid Loss: 12.4149
Epoch 100/1000, Loss: 14.4330, Valid Loss: 12.3075
Epoch 101/1000, Loss: 14.0369, Valid Loss: 12.9238
Epoch 102/1000, Loss: 14.7067, Valid Loss: 11.2836
Epoch 103/1000, Loss: 14.7799, Valid Loss: 15.1091
Epoch 104/1000, Loss: 14.4619, Valid Loss: 19.8216
Epoch 105/1000, Loss: 15.2565, Valid Loss: 14.3226
Epoch 106/1000, Loss: 13.6636, Valid Loss: 16.8252
Epoch 107/1000, Loss: 15.2626, Valid Loss: 15.7767
Epoch 108/1000, Loss: 14.9782, Valid Loss: 16.1603
Epoch 109/1000, Loss: 15.0447, Valid Loss: 22.3053
Epoch 110/1000, Loss: 14.9055, Valid Loss: 19.6521
Epoch 111/1000, Loss: 14.6184, Valid Loss: 13.4412
Epoch 112/1000, Loss: 14.6781, Valid Loss: 21.4494
Epoch 113/1000, Loss: 14.2033, Valid Loss: 13.7767
Epoch 114/1000, Loss: 14.7805, Valid Loss: 13.6863
Epoch 115/1000, Loss: 13.6468, Valid Loss: 12.4242
Epoch 116/1000, Loss: 14.1005, Valid Loss: 12.8221
Epoch 117/1000, Loss: 14.7936, Valid Loss: 11.7024
Epoch 118/1000, Loss: 14.0821, Valid Loss: 13.6724
Epoch 119/1000, Loss: 13.9917, Valid Loss: 16.5374
Epoch 120/1000, Loss: 14.6949, Valid Loss: 13.3110
Epoch 121/1000, Loss: 15.1378, Valid Loss: 15.2512
Epoch 122/1000, Loss: 14.8629, Valid Loss: 17.6646
Epoch 123/1000, Loss: 15.2518, Valid Loss: 18.2042
Epoch 124/1000, Loss: 14.4707, Valid Loss: 12.9042
Epoch 125/1000, Loss: 14.8024, Valid Loss: 12.9800
Epoch 126/1000, Loss: 14.6673, Valid Loss: 11.9026
Epoch 127/1000, Loss: 13.1561, Valid Loss: 15.6169
Epoch 128/1000, Loss: 13.8930, Valid Loss: 16.6666
Epoch 129/1000, Loss: 14.6589, Valid Loss: 16.4558
Epoch 130/1000, Loss: 13.3739, Valid Loss: 13.6284
Epoch 131/1000, Loss: 14.0594, Valid Loss: 13.7552
Epoch 132/1000, Loss: 13.7820, Valid Loss: 17.4764
Epoch 133/1000, Loss: 14.1508, Valid Loss: 12.5867
Epoch 134/1000, Loss: 14.4565, Valid Loss: 12.5535
Epoch 135/1000, Loss: 17.3337, Valid Loss: 16.4738
Epoch 136/1000, Loss: 15.1006, Valid Loss: 18.3371
Epoch 137/1000, Loss: 14.5205, Valid Loss: 15.1079
Epoch 138/1000, Loss: 15.6628, Valid Loss: 14.6686
Epoch 139/1000, Loss: 15.3812, Valid Loss: 14.3436
Epoch 140/1000, Loss: 15.2243, Valid Loss: 16.1238
Epoch 141/1000, Loss: 14.3409, Valid Loss: 19.2633
Epoch 142/1000, Loss: 14.8514, Valid Loss: 13.9459
Epoch 143/1000, Loss: 14.3334, Valid Loss: 12.5624
Epoch 144/1000, Loss: 14.6984, Valid Loss: 19.1906
Epoch 145/1000, Loss: 14.2202, Valid Loss: 12.1836
Epoch 146/1000, Loss: 13.8196, Valid Loss: 14.3952
Epoch 147/1000, Loss: 13.9056, Valid Loss: 13.1885
Epoch 148/1000, Loss: 14.5363, Valid Loss: 22.0955
Epoch 149/1000, Loss: 14.8282, Valid Loss: 14.5341
Epoch 150/1000, Loss: 14.8939, Valid Loss: 10.8612
Epoch 151/1000, Loss: 15.2317, Valid Loss: 14.9196
Epoch 152/1000, Loss: 14.4970, Valid Loss: 16.4963
Epoch 153/1000, Loss: 14.2507, Valid Loss: 14.9329
Epoch 154/1000, Loss: 14.7748, Valid Loss: 20.5100
Epoch 155/1000, Loss: 14.6147, Valid Loss: 13.9616
Epoch 156/1000, Loss: 15.5389, Valid Loss: 12.9409
Epoch 157/1000, Loss: 14.1331, Valid Loss: 13.8987
Epoch 158/1000, Loss: 14.9129, Valid Loss: 13.4020
Epoch 159/1000, Loss: 15.0442, Valid Loss: 12.9316
Epoch 160/1000, Loss: 14.6622, Valid Loss: 16.1178
Epoch 161/1000, Loss: 14.7497, Valid Loss: 14.4675
Epoch 162/1000, Loss: 14.6284, Valid Loss: 13.5368
Epoch 163/1000, Loss: 15.0222, Valid Loss: 14.2488
Epoch 164/1000, Loss: 14.3272, Valid Loss: 14.6042
Epoch 165/1000, Loss: 14.3161, Valid Loss: 12.6125
Epoch 166/1000, Loss: 14.3044, Valid Loss: 18.0131
Epoch 167/1000, Loss: 14.6956, Valid Loss: 13.3656
Epoch 168/1000, Loss: 15.1925, Valid Loss: 16.1198
Epoch 169/1000, Loss: 17.0884, Valid Loss: 12.3771
Epoch 170/1000, Loss: 15.3551, Valid Loss: 12.5409
Epoch 171/1000, Loss: 14.6857, Valid Loss: 16.1522
Epoch 172/1000, Loss: 14.4209, Valid Loss: 16.8511
Epoch 173/1000, Loss: 13.8200, Valid Loss: 14.7010
Epoch 174/1000, Loss: 15.2634, Valid Loss: 18.1675
Epoch 175/1000, Loss: 14.3530, Valid Loss: 17.1348
Epoch 176/1000, Loss: 14.9314, Valid Loss: 13.5871
Epoch 177/1000, Loss: 14.5996, Valid Loss: 17.6491
Epoch 178/1000, Loss: 14.7033, Valid Loss: 13.3524
Epoch 179/1000, Loss: 16.2658, Valid Loss: 12.5105
Epoch 180/1000, Loss: 14.7619, Valid Loss: 16.8136
Epoch 181/1000, Loss: 15.3877, Valid Loss: 11.9463
Epoch 182/1000, Loss: 15.7244, Valid Loss: 13.8348
Epoch 183/1000, Loss: 14.4778, Valid Loss: 20.9920
Epoch 184/1000, Loss: 14.7176, Valid Loss: 11.7639
Epoch 185/1000, Loss: 13.5796, Valid Loss: 15.4554
Epoch 186/1000, Loss: 15.6009, Valid Loss: 16.9551
Epoch 187/1000, Loss: 13.5986, Valid Loss: 15.2807
Epoch 188/1000, Loss: 14.3566, Valid Loss: 12.5199
Epoch 189/1000, Loss: 15.0050, Valid Loss: 14.8917
Epoch 190/1000, Loss: 14.1031, Valid Loss: 14.1584
