Epoch 117/1000, Loss: 14.6900, Valid Loss: 13.3962
Epoch 118/1000, Loss: 15.4369, Valid Loss: 14.1113
Epoch 119/1000, Loss: 15.3417, Valid Loss: 14.0517
Epoch 120/1000, Loss: 14.9727, Valid Loss: 15.6154
Epoch 121/1000, Loss: 15.3085, Valid Loss: 16.4323
Epoch 122/1000, Loss: 16.1055, Valid Loss: 17.9791
Epoch 123/1000, Loss: 14.8636, Valid Loss: 12.4123
Epoch 124/1000, Loss: 15.0491, Valid Loss: 13.4775
Epoch 125/1000, Loss: 15.1340, Valid Loss: 15.4734
Epoch 126/1000, Loss: 14.7376, Valid Loss: 14.0226
Epoch 127/1000, Loss: 15.4424, Valid Loss: 16.8827
Epoch 128/1000, Loss: 15.7410, Valid Loss: 17.7189
Epoch 129/1000, Loss: 15.2185, Valid Loss: 14.5564
Epoch 130/1000, Loss: 15.1922, Valid Loss: 22.2142
Epoch 131/1000, Loss: 15.2712, Valid Loss: 12.5117
Epoch 132/1000, Loss: 15.1823, Valid Loss: 14.3888
Epoch 133/1000, Loss: 14.3547, Valid Loss: 12.0148
Epoch 134/1000, Loss: 14.7181, Valid Loss: 13.8076
Epoch 135/1000, Loss: 14.6128, Valid Loss: 15.0066
Epoch 136/1000, Loss: 14.5076, Valid Loss: 13.3852
Epoch 137/1000, Loss: 14.1109, Valid Loss: 15.8629
Epoch 138/1000, Loss: 14.9856, Valid Loss: 12.6278
Epoch 139/1000, Loss: 15.8423, Valid Loss: 11.7561
Epoch 140/1000, Loss: 14.8579, Valid Loss: 14.3069
Epoch 141/1000, Loss: 14.4880, Valid Loss: 14.6360
Epoch 142/1000, Loss: 14.8602, Valid Loss: 17.3190
Epoch 143/1000, Loss: 15.1066, Valid Loss: 16.5178
Epoch 144/1000, Loss: 15.4024, Valid Loss: 20.2312
Epoch 145/1000, Loss: 13.9707, Valid Loss: 13.3805
Epoch 146/1000, Loss: 14.3881, Valid Loss: 14.0756
Epoch 147/1000, Loss: 14.9364, Valid Loss: 15.6070
Epoch 148/1000, Loss: 15.1275, Valid Loss: 16.8958
Epoch 149/1000, Loss: 14.2483, Valid Loss: 13.8798
Epoch 150/1000, Loss: 14.8215, Valid Loss: 15.0631
Epoch 151/1000, Loss: 15.5744, Valid Loss: 16.1074
Epoch 152/1000, Loss: 15.3996, Valid Loss: 13.7789
Epoch 153/1000, Loss: 15.1407, Valid Loss: 17.1034
Epoch 154/1000, Loss: 15.6129, Valid Loss: 13.1312
Epoch 155/1000, Loss: 15.0984, Valid Loss: 12.0808
Epoch 156/1000, Loss: 14.5586, Valid Loss: 15.0250
Epoch 157/1000, Loss: 16.1296, Valid Loss: 13.1739
Epoch 158/1000, Loss: 15.8350, Valid Loss: 17.9781
Epoch 159/1000, Loss: 16.2645, Valid Loss: 16.1219
Epoch 160/1000, Loss: 14.6404, Valid Loss: 16.1595
Epoch 161/1000, Loss: 15.0028, Valid Loss: 12.7276
Epoch 162/1000, Loss: 15.0994, Valid Loss: 14.2681
Epoch 163/1000, Loss: 14.8281, Valid Loss: 18.8759
Epoch 164/1000, Loss: 15.1928, Valid Loss: 12.7749
Epoch 165/1000, Loss: 15.1937, Valid Loss: 13.5945
Epoch 166/1000, Loss: 14.8625, Valid Loss: 13.8675
Epoch 167/1000, Loss: 14.5544, Valid Loss: 13.3877
Epoch 168/1000, Loss: 14.2620, Valid Loss: 13.1392
Epoch 169/1000, Loss: 15.3142, Valid Loss: 13.6530
Epoch 170/1000, Loss: 14.5052, Valid Loss: 17.0508
Epoch 171/1000, Loss: 19.8475, Valid Loss: 16.2145
Epoch 172/1000, Loss: 15.6687, Valid Loss: 13.4818
Epoch 173/1000, Loss: 14.5141, Valid Loss: 12.1807
Epoch 174/1000, Loss: 15.6024, Valid Loss: 14.8582
Epoch 175/1000, Loss: 15.2564, Valid Loss: 14.3248
Epoch 176/1000, Loss: 14.6581, Valid Loss: 13.5180
Epoch 177/1000, Loss: 15.6655, Valid Loss: 19.2999
Epoch 178/1000, Loss: 14.9076, Valid Loss: 14.4624
Epoch 179/1000, Loss: 14.3010, Valid Loss: 19.6395
Epoch 180/1000, Loss: 14.3782, Valid Loss: 14.5565
Epoch 181/1000, Loss: 14.8178, Valid Loss: 20.8539
