WARNING:bayesflow:
When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use

with torch.enable_grad():
    ...

in contexts where you need gradients (e.g. custom training loops).
/home/jarruda_hpc/.conda/envs/habi/lib/python3.11/site-packages/bayesflow/diagnostics/metrics/posterior_contraction.py:59: RuntimeWarning: Degrees of freedom <= 0 for slice
  post_vars = samples["estimates"].var(axis=1, ddof=1)
/home/jarruda_hpc/.conda/envs/habi/lib/python3.11/site-packages/numpy/core/_methods.py:195: RuntimeWarning: invalid value encountered in divide
  ret = um.true_divide(
Exp: 9 Model: 9 mini_batch
Kernel type: variance_preserving, noise schedule: cosine
t_min: 0.00035210439818911254, t_max: 0.999647855758667
alpha, sigma: (tensor(1.0000), tensor(0.0006)) (tensor(0.0006), tensor(1.0000))
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|   blocks.res_blocks.0.dense.weight   |    5376    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    5376    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 276746
gaussian_flat9_1score_model_v_variance_preserving_cosine_likelihood_weighting
Training v-model for 1000 epochs with learning rate 0.0005 and likelihood_weighting weighting.
Epoch 1/1000, Loss: 16.6120, Valid Loss: 15.0244
Epoch 2/1000, Loss: 14.5940, Valid Loss: 13.0460
Epoch 3/1000, Loss: 15.1036, Valid Loss: 13.9644
Epoch 4/1000, Loss: 14.5876, Valid Loss: 21.3411
Epoch 5/1000, Loss: 15.0405, Valid Loss: 13.1689
Epoch 6/1000, Loss: 14.7925, Valid Loss: 14.3146
Epoch 7/1000, Loss: 15.0808, Valid Loss: 12.3179
Epoch 8/1000, Loss: 14.7644, Valid Loss: 18.0739
Epoch 9/1000, Loss: 15.3751, Valid Loss: 14.6061
Epoch 10/1000, Loss: 15.0341, Valid Loss: 13.4988
Epoch 11/1000, Loss: 14.6442, Valid Loss: 12.3786
Epoch 12/1000, Loss: 15.1386, Valid Loss: 14.2077
Epoch 13/1000, Loss: 14.3349, Valid Loss: 13.5910
Epoch 14/1000, Loss: 14.5177, Valid Loss: 16.6345
Epoch 15/1000, Loss: 14.7919, Valid Loss: 12.9372
Epoch 16/1000, Loss: 14.8980, Valid Loss: 15.5592
Epoch 17/1000, Loss: 14.3084, Valid Loss: 14.7353
Epoch 18/1000, Loss: 14.2425, Valid Loss: 15.0947
Epoch 19/1000, Loss: 16.5269, Valid Loss: 19.8521
Epoch 20/1000, Loss: 15.4580, Valid Loss: 12.0956
Epoch 21/1000, Loss: 14.7952, Valid Loss: 14.9438
Epoch 22/1000, Loss: 14.7846, Valid Loss: 17.4662
Epoch 23/1000, Loss: 14.6239, Valid Loss: 16.1393
Epoch 24/1000, Loss: 14.4360, Valid Loss: 13.0307
Epoch 25/1000, Loss: 14.9580, Valid Loss: 18.0275
Epoch 26/1000, Loss: 15.0525, Valid Loss: 18.5592
Epoch 27/1000, Loss: 15.3276, Valid Loss: 11.6246
Epoch 28/1000, Loss: 14.2985, Valid Loss: 20.5491
Epoch 29/1000, Loss: 15.2245, Valid Loss: 13.2993
Epoch 30/1000, Loss: 15.2363, Valid Loss: 17.5097
Epoch 31/1000, Loss: 14.9667, Valid Loss: 14.3049
Epoch 32/1000, Loss: 14.5245, Valid Loss: 13.4911
Epoch 33/1000, Loss: 15.9954, Valid Loss: 15.6429
Epoch 34/1000, Loss: 16.0387, Valid Loss: 13.1030
Epoch 35/1000, Loss: 14.1849, Valid Loss: 17.6002
Epoch 36/1000, Loss: 15.6186, Valid Loss: 17.4906
Epoch 37/1000, Loss: 15.8385, Valid Loss: 18.8224
Epoch 38/1000, Loss: 15.4428, Valid Loss: 14.2258
Epoch 39/1000, Loss: 13.7110, Valid Loss: 13.3995
Epoch 40/1000, Loss: 14.8974, Valid Loss: 13.5002
Epoch 41/1000, Loss: 18.9229, Valid Loss: 16.1354
Epoch 42/1000, Loss: 15.1455, Valid Loss: 13.5699
Epoch 43/1000, Loss: 15.0951, Valid Loss: 18.4395
Epoch 44/1000, Loss: 14.5867, Valid Loss: 16.7236
Epoch 45/1000, Loss: 13.7154, Valid Loss: 11.7950
Epoch 46/1000, Loss: 15.3619, Valid Loss: 14.7020
Epoch 47/1000, Loss: 14.7984, Valid Loss: 11.8521
Epoch 48/1000, Loss: 14.3127, Valid Loss: 14.3428
Epoch 49/1000, Loss: 14.9447, Valid Loss: 14.0613
Epoch 50/1000, Loss: 14.7654, Valid Loss: 14.7841
Epoch 51/1000, Loss: 14.7898, Valid Loss: 16.3490
Epoch 52/1000, Loss: 14.3813, Valid Loss: 13.1623
Epoch 53/1000, Loss: 14.8266, Valid Loss: 14.0943
Epoch 54/1000, Loss: 14.4294, Valid Loss: 12.7531
Epoch 55/1000, Loss: 14.4986, Valid Loss: 14.8412
Epoch 56/1000, Loss: 14.8753, Valid Loss: 11.5964
Epoch 57/1000, Loss: 15.4582, Valid Loss: 12.6656
Epoch 58/1000, Loss: 13.9380, Valid Loss: 15.2941
Epoch 59/1000, Loss: 14.6508, Valid Loss: 12.7455
Epoch 60/1000, Loss: 14.7854, Valid Loss: 15.1661
Epoch 61/1000, Loss: 15.2600, Valid Loss: 13.1218
Epoch 62/1000, Loss: 13.9663, Valid Loss: 12.0806
Epoch 63/1000, Loss: 14.6831, Valid Loss: 16.9014
Epoch 64/1000, Loss: 14.5746, Valid Loss: 14.5058
Epoch 65/1000, Loss: 14.7018, Valid Loss: 12.0327
Epoch 66/1000, Loss: 16.2800, Valid Loss: 16.0847
Epoch 67/1000, Loss: 14.1652, Valid Loss: 14.1207
Epoch 68/1000, Loss: 13.9980, Valid Loss: 11.9469
Epoch 69/1000, Loss: 14.8773, Valid Loss: 15.4895
Epoch 70/1000, Loss: 14.6879, Valid Loss: 13.3834
Epoch 71/1000, Loss: 13.5795, Valid Loss: 13.9881
Epoch 72/1000, Loss: 14.6280, Valid Loss: 15.1830
Epoch 73/1000, Loss: 13.7363, Valid Loss: 17.5610
Epoch 74/1000, Loss: 14.5599, Valid Loss: 15.6042
Epoch 75/1000, Loss: 14.5656, Valid Loss: 13.6405
Epoch 76/1000, Loss: 14.3140, Valid Loss: 14.8095
Epoch 77/1000, Loss: 14.1566, Valid Loss: 16.1968
Epoch 78/1000, Loss: 15.4841, Valid Loss: 12.7745
Epoch 79/1000, Loss: 14.7027, Valid Loss: 14.5140
Epoch 80/1000, Loss: 14.8893, Valid Loss: 13.0563
Epoch 81/1000, Loss: 14.2054, Valid Loss: 14.6035
Epoch 82/1000, Loss: 15.3030, Valid Loss: 14.2018
Epoch 83/1000, Loss: 14.3455, Valid Loss: 13.9693
Epoch 84/1000, Loss: 14.9298, Valid Loss: 14.9428
Epoch 85/1000, Loss: 14.3645, Valid Loss: 15.4002
Epoch 86/1000, Loss: 13.7962, Valid Loss: 16.8929
Epoch 87/1000, Loss: 14.1424, Valid Loss: 11.3883
Epoch 88/1000, Loss: 14.4031, Valid Loss: 11.7809
Epoch 89/1000, Loss: 14.8510, Valid Loss: 10.5202
Epoch 90/1000, Loss: 13.9631, Valid Loss: 13.8145
Epoch 91/1000, Loss: 14.9389, Valid Loss: 13.5911
Epoch 92/1000, Loss: 14.8180, Valid Loss: 16.7179
Epoch 93/1000, Loss: 14.1980, Valid Loss: 14.7400
Epoch 94/1000, Loss: 14.3850, Valid Loss: 12.6986
Epoch 95/1000, Loss: 15.4039, Valid Loss: 12.1162
Epoch 96/1000, Loss: 14.7963, Valid Loss: 12.6554
Epoch 97/1000, Loss: 14.4348, Valid Loss: 16.1359
Epoch 98/1000, Loss: 14.4570, Valid Loss: 14.8592
Epoch 99/1000, Loss: 14.3805, Valid Loss: 15.1166
