WARNING:bayesflow:
When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use

with torch.enable_grad():
    ...

in contexts where you need gradients (e.g. custom training loops).
Exp: 7 Model: 7 mini_batch
Remember to switch the noise schedule for sampling!
Using EDM noise schedule with log_snr_min: -8.764053344726562, log_snr_max: 12.429216384887695
Kernel type: variance_preserving, noise schedule: edm-training
t_min: 0.9999853372573853, t_max: 1.6391277313232422e-06
alpha, sigma: (tensor(1.0000), tensor(0.0020)) (tensor(0.0125), tensor(0.9999))
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|   blocks.res_blocks.0.dense.weight   |    5376    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    5376    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 276746
gaussian_flat7_1score_model_F_variance_preserving_edm-training_edm
Training F-model for 1000 epochs with learning rate 0.0005 and edm weighting.
Epoch 91/1000, Loss: 0.8732, Valid Loss: 0.8857
Epoch 92/1000, Loss: 0.8747, Valid Loss: 0.8773
Epoch 93/1000, Loss: 0.8727, Valid Loss: 0.8726
Epoch 94/1000, Loss: 0.8735, Valid Loss: 0.8680
Epoch 95/1000, Loss: 0.8726, Valid Loss: 0.8685
Epoch 96/1000, Loss: 0.8702, Valid Loss: 0.8944
Epoch 97/1000, Loss: 0.8713, Valid Loss: 0.8781
Epoch 98/1000, Loss: 0.8687, Valid Loss: 0.8578
Epoch 99/1000, Loss: 0.8793, Valid Loss: 0.8747
Epoch 100/1000, Loss: 0.8769, Valid Loss: 0.8701
Epoch 101/1000, Loss: 0.8816, Valid Loss: 0.8471
Epoch 102/1000, Loss: 0.8765, Valid Loss: 0.8793
Epoch 103/1000, Loss: 0.8783, Valid Loss: 0.8523
Epoch 104/1000, Loss: 0.8739, Valid Loss: 0.8812
Epoch 105/1000, Loss: 0.8745, Valid Loss: 0.8709
Epoch 106/1000, Loss: 0.8677, Valid Loss: 0.8821
Epoch 107/1000, Loss: 0.8740, Valid Loss: 0.8878
Epoch 108/1000, Loss: 0.8808, Valid Loss: 0.8552
Epoch 109/1000, Loss: 0.8781, Valid Loss: 0.8693
Epoch 110/1000, Loss: 0.8810, Valid Loss: 0.8743
Epoch 111/1000, Loss: 0.8758, Valid Loss: 0.8849
Epoch 112/1000, Loss: 0.8746, Valid Loss: 0.8609
Epoch 113/1000, Loss: 0.8818, Valid Loss: 0.8759
Epoch 114/1000, Loss: 0.8723, Valid Loss: 0.8508
Epoch 115/1000, Loss: 0.8728, Valid Loss: 0.8646
Epoch 116/1000, Loss: 0.8808, Valid Loss: 0.8852
Epoch 117/1000, Loss: 0.8697, Valid Loss: 0.8819
Epoch 118/1000, Loss: 0.8734, Valid Loss: 0.8878
Epoch 119/1000, Loss: 0.8736, Valid Loss: 0.8859
Epoch 120/1000, Loss: 0.8768, Valid Loss: 0.8667
Epoch 121/1000, Loss: 0.8686, Valid Loss: 0.8747
Epoch 122/1000, Loss: 0.8818, Valid Loss: 0.8742
Epoch 123/1000, Loss: 0.8742, Valid Loss: 0.8548
Epoch 124/1000, Loss: 0.8728, Valid Loss: 0.8818
Epoch 125/1000, Loss: 0.8716, Valid Loss: 0.8855
Epoch 126/1000, Loss: 0.8860, Valid Loss: 0.8768
Epoch 127/1000, Loss: 0.8774, Valid Loss: 0.8613
