Epoch 128/1000, Loss: 16.3033, Valid Loss: 14.3124
Epoch 129/1000, Loss: 14.7111, Valid Loss: 15.0334
Epoch 130/1000, Loss: 15.4418, Valid Loss: 21.2783
Epoch 131/1000, Loss: 16.8619, Valid Loss: 14.0872
Epoch 132/1000, Loss: 14.9238, Valid Loss: 14.4076
Epoch 133/1000, Loss: 14.9997, Valid Loss: 13.6312
Epoch 134/1000, Loss: 15.8238, Valid Loss: 27.1380
Epoch 135/1000, Loss: 15.0660, Valid Loss: 12.5065
Epoch 136/1000, Loss: 14.8688, Valid Loss: 19.3915
Epoch 137/1000, Loss: 14.8193, Valid Loss: 14.4003
Epoch 138/1000, Loss: 15.2280, Valid Loss: 14.9857
Epoch 139/1000, Loss: 14.6319, Valid Loss: 18.3794
Epoch 140/1000, Loss: 14.6872, Valid Loss: 14.1041
Epoch 141/1000, Loss: 16.4729, Valid Loss: 12.8173
Epoch 142/1000, Loss: 14.8562, Valid Loss: 16.4291
Epoch 143/1000, Loss: 14.5202, Valid Loss: 14.8668
Epoch 144/1000, Loss: 15.1035, Valid Loss: 15.3813
Epoch 145/1000, Loss: 14.6192, Valid Loss: 18.6082
Epoch 146/1000, Loss: 15.6787, Valid Loss: 12.3986
Epoch 147/1000, Loss: 14.3033, Valid Loss: 16.9812
Epoch 148/1000, Loss: 14.9617, Valid Loss: 15.5268
Epoch 149/1000, Loss: 15.4123, Valid Loss: 13.5192
Epoch 150/1000, Loss: 15.4632, Valid Loss: 13.5780
Epoch 151/1000, Loss: 14.7259, Valid Loss: 17.0852
Epoch 152/1000, Loss: 14.6308, Valid Loss: 16.1094
Epoch 153/1000, Loss: 16.0113, Valid Loss: 13.1144
Epoch 154/1000, Loss: 14.4187, Valid Loss: 14.0726
Epoch 155/1000, Loss: 15.6036, Valid Loss: 12.5041
Epoch 156/1000, Loss: 15.6304, Valid Loss: 12.6666
Epoch 157/1000, Loss: 15.0605, Valid Loss: 11.5136
Epoch 158/1000, Loss: 15.4344, Valid Loss: 17.3141
Epoch 159/1000, Loss: 15.3463, Valid Loss: 15.7389
Epoch 160/1000, Loss: 14.2698, Valid Loss: 14.9801
Epoch 161/1000, Loss: 14.8162, Valid Loss: 12.3288
Epoch 162/1000, Loss: 14.1984, Valid Loss: 15.7340
Epoch 163/1000, Loss: 15.3851, Valid Loss: 21.3241
Epoch 164/1000, Loss: 15.0503, Valid Loss: 16.7121
Epoch 165/1000, Loss: 14.7072, Valid Loss: 12.3958
Epoch 166/1000, Loss: 14.6461, Valid Loss: 14.5861
Epoch 167/1000, Loss: 15.1753, Valid Loss: 15.3651
Epoch 168/1000, Loss: 14.7112, Valid Loss: 12.8809
Epoch 169/1000, Loss: 14.5946, Valid Loss: 17.1312
Epoch 170/1000, Loss: 16.9479, Valid Loss: 18.4826
Epoch 171/1000, Loss: 14.1111, Valid Loss: 12.8475
Epoch 172/1000, Loss: 15.1749, Valid Loss: 14.0798
Epoch 173/1000, Loss: 14.9144, Valid Loss: 12.2855
Epoch 174/1000, Loss: 15.4020, Valid Loss: 15.4709
Epoch 175/1000, Loss: 15.5829, Valid Loss: 15.6229
Epoch 176/1000, Loss: 15.7347, Valid Loss: 18.2223
Epoch 177/1000, Loss: 15.3458, Valid Loss: 15.5053
Epoch 178/1000, Loss: 16.0535, Valid Loss: 13.2090
Epoch 179/1000, Loss: 14.8111, Valid Loss: 13.2640
Epoch 180/1000, Loss: 14.5488, Valid Loss: 15.4493
Epoch 181/1000, Loss: 16.1571, Valid Loss: 18.8113
Epoch 182/1000, Loss: 14.9622, Valid Loss: 13.1617
Epoch 183/1000, Loss: 14.6488, Valid Loss: 14.1370
Epoch 184/1000, Loss: 14.6891, Valid Loss: 18.2311
Epoch 185/1000, Loss: 14.3476, Valid Loss: 15.8056
Epoch 186/1000, Loss: 15.5177, Valid Loss: 15.8295
Epoch 187/1000, Loss: 14.8530, Valid Loss: 13.7856
Epoch 188/1000, Loss: 14.2734, Valid Loss: 14.6166
Epoch 189/1000, Loss: 15.7873, Valid Loss: 14.2597
Epoch 190/1000, Loss: 15.1271, Valid Loss: 13.4795
Epoch 191/1000, Loss: 15.1155, Valid Loss: 12.5922
Epoch 192/1000, Loss: 14.4083, Valid Loss: 12.6740
Epoch 193/1000, Loss: 15.0526, Valid Loss: 13.8115
Epoch 194/1000, Loss: 15.2514, Valid Loss: 15.0952
Epoch 195/1000, Loss: 15.2047, Valid Loss: 16.5355
