,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,median_global,median_local,rmse_global,c_error_global,contractions_global,rmse_local,c_error_local,contractions_local,median
0,16,0,1,1,1,0,7234.5,[0.4723054 0.4495103 0.1921578],"[ 0.47429484 -0.21131882 -0.04728618  0.07844895  0.6756502   0.20590216
  0.84485614  0.3889981   0.45109206  0.9363221   0.78532284  0.45402223
  0.9599876   0.9101875  -0.66355205  0.86410296]",0.14847925,0.40263157894736845,0.88340765,0.19392598,0.2750000000000001,0.89359736,
1,16,1,1,1,1,0,7234.5,[0.16191678 0.28815028 0.36426738],"[ 0.14101249  0.98129123 -0.8820106  -0.51838607 -0.6219928   0.5921186
  0.77101886 -0.19813201 -0.88681275 -0.5818354  -0.8744075  -0.5055575
 -0.82986593 -0.154069    0.8107893   0.07515296]",0.14847925,0.40263157894736845,0.88340765,0.19392598,0.2750000000000001,0.89359736,
2,16,2,1,1,1,0,7234.5,[0.6454761  0.20504048 0.3234845 ],"[-0.18548611 -0.9011822   0.83623457  0.95209914 -0.9305937   0.41022187
  0.60581106 -0.13602465  0.88355696 -0.90289617 -0.7772249   0.95753765
 -0.01826671  0.20174456 -0.9161513  -0.30453277]",0.14847925,0.40263157894736845,0.88340765,0.19392598,0.2750000000000001,0.89359736,
3,16,3,1,1,1,0,7234.5,[-0.8261245  -0.05995885 -0.02682709],"[-0.20631796  0.41987962 -0.01870993  0.5822911  -0.20284623  0.21396625
 -0.11854792  0.7671898  -0.06962764  0.7914325   0.6893177  -0.06155989
 -0.43229046  0.06087685  0.40413892 -0.4203301 ]",0.14847925,0.40263157894736845,0.88340765,0.19392598,0.2750000000000001,0.89359736,
4,16,4,1,1,1,0,7234.5,[-0.53363377  0.09564705  0.43214256],"[-0.51698416 -0.6241882  -0.28390983  0.5640522  -0.67085606  0.92942256
  0.9029804   0.719291   -0.07167414 -0.5479785  -0.7181417   0.8452581
 -0.9206163   0.766948    0.90984136 -0.750986  ]",0.14847925,0.40263157894736845,0.88340765,0.19392598,0.2750000000000001,0.89359736,
5,16,5,1,1,1,0,7234.5,[ 0.6734271  -0.11303692  0.09502643],"[-0.14264685  0.5231224  -0.2783702   0.15699929 -0.7239536  -0.2784141
 -0.22580114  0.19873136 -0.0795562   0.07143211  0.35310972 -0.4770499
 -0.51733893 -0.18742615 -0.13819319 -0.5835247 ]",0.14847925,0.40263157894736845,0.88340765,0.19392598,0.2750000000000001,0.89359736,
6,16,6,1,1,1,0,7234.5,[ 1.1980436 -0.1922211  0.1678414],"[-0.7324804  -0.94670403 -0.11102238 -0.91435224 -0.25850537 -0.47324103
 -0.5730923  -0.46022576 -0.86334383 -0.7691735  -0.72514933 -0.3943889
 -0.02358299 -0.50663877 -0.52757645 -0.48469406]",0.14847925,0.40263157894736845,0.88340765,0.19392598,0.2750000000000001,0.89359736,
7,16,7,1,1,1,0,7234.5,[0.9981042  0.0922588  0.04341274],"[ 0.3119732   0.17285398 -0.18241319 -0.22440132  0.69190526  0.3434147
  0.59119755  0.01467159  0.4714607  -0.15567106  0.2611789  -0.25489047
  0.8043374   0.7724039   0.6803373   0.427199  ]",0.14847925,0.40263157894736845,0.88340765,0.19392598,0.2750000000000001,0.89359736,
8,16,8,1,1,1,0,7234.5,[-0.49881366 -0.22978131  0.01582447],"[-0.46314633 -0.26837087 -0.08499378 -0.36747622 -0.43091854 -0.6040379
  0.11309314 -0.23868322 -0.30527645 -0.53537524 -0.12434584 -0.39773
  0.35475135 -0.437974   -0.34988877 -0.48736584]",0.14847925,0.40263157894736845,0.88340765,0.19392598,0.2750000000000001,0.89359736,
9,16,9,1,1,1,0,7234.5,[-0.15172908  0.01825215 -0.10611255],"[-0.02572209  0.15729702 -0.18358931 -0.2902379  -0.06724185  0.08756721
  0.2036452  -0.08008429  0.38207477  0.2477153   0.79421383  0.21001083
 -0.2582013   0.3853755   0.0487839   0.18549353]",0.14847925,0.40263157894736845,0.88340765,0.19392598,0.2750000000000001,0.89359736,
