,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,median_global,median_local,rmse_global,c_error_global,contractions_global,rmse_local,c_error_local,contractions_local,median
0,16,0,1,1e-05,1,0,38.34,[ 0.14623688 -0.45799068  0.78004265],"[-0.56356907 -0.15332776 -0.38980392  0.5971864  -0.7258514  -0.6095774
 -0.66829014 -0.6570214   0.07996172 -0.3471377  -0.62960696 -0.65521985
 -0.5226861  -0.81536543 -0.38397378 -0.7536962 ]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
1,16,1,1,1e-05,1,0,38.34,[ 1.0290347   0.02731964 -1.2701651 ],"[-0.04950944  0.33044392 -0.16597453  0.02655399  0.45327878 -0.24717286
 -0.05402747  0.11371613  0.03438598  0.3120203   0.07667696 -0.5440644
 -0.1347127   0.70054424  0.24349028  0.24482709]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
2,16,2,1,1e-05,1,0,38.34,[0.9006096  1.1112651  0.14176121],"[ 0.8609012   0.9571801   0.14783263  0.97076625 -0.9104338   0.7010457
  0.9354778  -0.7007841   0.9680178  -0.843811   -0.99222016  0.98917395
  0.6965983  -0.849579    0.9784071   0.39317   ]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
3,16,3,1,1e-05,1,0,38.34,[ 0.41185626 -0.32057607  1.1551654 ],"[-0.35152113 -0.32047588 -0.75286585 -0.6259167  -0.0655241  -0.08122456
 -0.12857708 -0.9145478   0.44859874 -0.46098867 -0.83938324 -0.34807783
 -0.6514765   0.5824611  -0.8446909  -0.8725764 ]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
4,16,4,1,1e-05,1,0,38.34,[0.5303503  0.32842314 0.6392484 ],"[ 0.9456925   0.73751837  0.92149574  0.90059996  0.9271452   0.9586638
  0.8508469   0.8580374   0.96830356  0.73793715  0.8503818   0.63897693
  0.78162676 -0.07924393  0.8204474   0.57460684]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
5,16,5,1,1e-05,1,0,38.34,[-0.11611809 -0.32222342 -0.5187324 ],"[-0.47686958  0.23414916 -0.6701938  -0.55831087 -0.7340543  -0.8125699
 -0.7287679  -0.5116948  -0.7752627  -0.368727   -0.59622145 -0.869363
 -0.58513534  0.06901142 -0.10706785  0.35828823]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
6,16,6,1,1e-05,1,0,38.34,[ 1.5528299  -0.61125374 -0.08799545],"[ 0.8813883  -0.28168267  0.01086986  0.51771903 -0.36982998  0.50373447
  0.81539    -0.77588356  0.72015256  0.7153031  -0.8874167   0.988648
  0.71925056 -0.37770212 -0.12441465 -0.8850714 ]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
7,16,7,1,1e-05,1,0,38.34,[ 1.0393579  -0.51678646  1.2970018 ],"[ 0.12917382  0.64937484 -0.0777525   0.10643631 -0.9981371   0.3100006
  0.4641319  -0.01248056  0.09411335 -0.37182605 -0.7174263  -0.99615395
 -0.44682503 -0.9946829  -0.59599483 -0.99701214]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
8,16,8,1,1e-05,1,0,38.34,[-0.06270912  0.28145686 -0.9195473 ],"[-0.89786875 -0.27749726 -0.44161958 -0.9879004  -0.26095816 -0.4566534
 -0.37522334  0.84490603 -0.47472152 -0.9030023   0.32918376  0.8388726
 -0.61781573  0.02423465  0.28194743 -0.15995044]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
9,16,9,1,1e-05,1,0,38.34,[0.53999174 0.83248824 0.74406356],"[-0.9181843   0.6213735  -0.9094772   0.16639173 -0.92938185 -0.9711895
 -0.9990332  -0.96986324 -0.99295354 -0.9668472   0.95330226  0.8842205
 -0.58546853 -0.9926896  -0.73511326 -0.2744759 ]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
10,16,10,1,1e-05,1,0,38.34,[-0.7976012  -0.19110027  0.89180076],"[ 0.94808203  0.59933746  0.9926832  -0.9991632   0.31220883 -0.36419582
  0.97189593  0.63688445 -0.77344036 -0.4112498  -0.27353108 -0.10389808
 -0.92234075  0.59159714 -0.88709414  0.03077543]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
11,16,11,1,1e-05,1,0,38.34,[-0.50706726  0.4300967   0.0963113 ],"[-0.3870711   0.4551494  -0.5982291  -0.3771986  -0.85753435 -0.13218695
 -0.4962894   0.5898402  -0.25281027 -0.40412512 -0.9840594   0.7593319
 -0.30360654 -0.7127835   0.07883418 -0.9659416 ]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
12,16,12,1,1e-05,1,0,38.34,[-0.91069674  0.5441807  -0.4888859 ],"[ 0.42166603  0.20535535 -0.49157622  0.76923686  0.9169934   0.92066914
  0.824373   -0.7345044   0.62039995 -0.17583841  0.03255266  0.10605603
  0.60816413 -0.6538296   0.13628328  0.20316893]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
13,16,13,1,1e-05,1,0,38.34,[1.0598447  0.34176153 1.1497902 ],"[ 0.8413761   0.96689236  0.99997807 -0.95233923  0.9214671  -0.7553159
 -0.9990872   0.36022085 -0.8548841  -0.74078274  0.9998282  -0.9673784
 -0.20449957 -0.9769809   0.9909351   0.36821604]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
14,16,14,1,1e-05,1,0,38.34,[-0.4794448  0.9570644  1.4035676],"[-0.9108924   0.77094716  0.9991628   0.99919343  0.9868416   0.98160046
  0.9951935   0.5808317   0.9603726  -0.7632747   0.8450015  -0.49989906
  0.99029875  0.93587524  0.9992872   0.9681634 ]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
15,16,15,1,1e-05,1,0,38.34,[ 0.25111207 -0.22063352  0.60492265],"[ 0.16658783  0.91573393 -0.73731625 -0.8150283  -0.81836706  0.97240907
 -0.9931782   0.8763979   0.15973604 -0.7452071   0.9550563   0.8799952
 -0.3845197  -0.90179     0.9710099   0.9195796 ]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
16,16,16,1,1e-05,1,0,38.34,[ 2.5059931  -0.07848072  0.00259392],"[-0.3505107  -0.6225588  -0.409602   -0.50526094 -0.41414288 -0.6512208
 -0.5707929  -0.34112626 -0.65215874 -0.339606   -0.5801269   0.13869125
 -0.695392   -0.75294876 -0.6113947  -0.23466772]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
17,16,17,1,1e-05,1,0,38.34,[-0.88346946 -1.5478384   0.40584657],"[0.6852455  0.266474   0.7047565  0.5044107  0.6362249  0.64293975
 0.5718441  0.7606717  0.42663884 0.15980834 0.7760226  0.61500436
 0.36078858 0.68861985 0.8631805  0.61574906]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
18,16,18,1,1e-05,1,0,38.34,[-0.8179687  -0.8906248   0.49321052],"[-0.2564299   0.41669714 -0.39266407 -0.65725124 -0.8447341   0.9992957
  0.9978919   0.9998094  -0.9994096  -0.9990295   0.99989474 -0.72292185
 -0.5850984  -0.9995941  -0.8622935  -0.9997443 ]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
19,16,19,1,1e-05,1,0,38.34,[-2.020986   -0.608866   -0.00622969],"[-0.42955175 -0.95871013  0.27634597 -0.9681313  -0.64852476 -0.86495477
  0.21737641 -0.5551474  -0.53885293 -0.44381046 -0.6542099   0.42593384
 -0.63363403 -0.86443186 -0.95471644 -0.9567002 ]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
20,16,20,1,1e-05,1,0,38.34,[-1.0051857   0.21288598 -0.00133599],"[-0.7530254   0.784974   -0.8860491  -0.98959947 -0.1815046  -0.5827581
 -0.52228856  0.5869049  -0.6415741  -0.5416265  -0.88256824 -0.81499124
  0.75905406 -0.9572549   0.8079603   0.54621816]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
21,16,21,1,1e-05,1,0,38.34,[-1.7423818  1.8236943  2.6711245],"[0.99863595 0.98947185 0.78555316 0.9997833  0.9999026  0.76919276
 0.99991286 0.9144045  0.99951553 0.94886214 0.9999093  0.9980521
 0.22953445 0.9997777  0.89107656 0.57960314]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
22,16,22,1,1e-05,1,0,38.34,[ 0.1886949  1.3003781 -0.8300595],"[ 0.3827005  -0.36592236 -0.29483473  0.48720688  0.77474904 -0.61887735
 -0.35583618 -0.57266754  0.723558   -0.81802034  0.04033339 -0.08390763
  0.6667543  -0.37575847 -0.49648306 -0.15546736]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
23,16,23,1,1e-05,1,0,38.34,[ 0.39822978 -1.1937658   0.10949275],"[-0.7962991  -0.88532865 -0.07785505 -0.6846355  -0.9403007  -0.96527636
 -0.97390735 -0.09509239 -0.29087752 -0.8099885  -0.9448553  -0.8706889
 -0.9378408  -0.5757286  -0.90356433 -0.93897736]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
24,16,24,1,1e-05,1,0,38.34,[-0.22996682  0.48511147  1.0242281 ],"[-0.2688279  -0.06710291 -0.72026336 -0.77390057 -0.48430288 -0.51116073
 -0.8398911  -0.5620308  -0.8994143  -0.6240988   0.6472649  -0.37206474
 -0.69188625  0.6022097  -0.57824224 -0.62443763]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
25,16,25,1,1e-05,1,0,38.34,[0.97686946 0.12973294 0.2875399 ],"[ 0.2652111   0.25714785  0.308109    0.2011959   0.5248342   0.32110816
  0.07137871  0.415623    0.05446619  0.38945824  0.17773622  0.5701774
  0.0713042  -0.4537591   0.71672773  0.31598258]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
26,16,26,1,1e-05,1,0,38.34,[0.21906933 0.94423854 0.5605371 ],"[ 0.6121468   0.7892509   0.87942344  0.61153203  0.16776222  0.8770608
  0.43588173  0.31406587  0.90916246  0.9466627  -0.82402885 -0.59310055
  0.01426387  0.13964856 -0.12165442 -0.05856898]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
27,16,27,1,1e-05,1,0,38.34,[-1.6501383   0.05805993  0.57368994],"[0.56707865 0.14965725 0.6640852  0.44394028 0.59540474 0.6467987
 0.2772591  0.25340146 0.04272145 0.57075715 0.48616898 0.32718998
 0.570798   0.2575376  0.43615866 0.7557439 ]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
28,16,28,1,1e-05,1,0,38.34,[-1.2584548  -0.46539295  0.11731542],"[-0.43725356  0.2223568  -0.17642602  0.4803434  -0.45483908 -0.33779934
 -0.537035    0.59806645 -0.9324469  -0.305623    0.10442138  0.0062896
  0.4350044   0.0943234   0.3235314   0.6266616 ]",0.5125633,0.39377192982456144,0.0,0.28231776,0.18121710526315787,0.3315949,
