,data_size,data_id,current_number_of_obs,n_steps,list_steps,mmd,median,median_rmse,contractions,rel_contraction
10,100,0,10,131,"[0.0031785  0.00272238 0.00339092 0.00302698 0.00269252 0.00311755
 0.00273261 0.00330529 0.00277931 0.0031994  0.00289842 0.00305285
 0.00293456 0.0031364  0.00309225 0.00309256 0.00316454 0.00303125
 0.00315011 0.00326316 0.00309701 0.00325829 0.00322682 0.00354022
 0.00314095 0.00362218 0.00303719 0.00372962 0.0032419  0.00378274
 0.0032672  0.00351035 0.00346908 0.00371005 0.00338833 0.00343697
 0.00392291 0.00344706 0.00431969 0.00407964 0.00362276 0.00397462
 0.00353419 0.00422308 0.00368231 0.00419276 0.0038012  0.00386519
 0.00416646 0.00392485 0.00392491 0.00430594 0.0041345  0.00426164
 0.00407666 0.004589   0.00402539 0.00544835 0.00630965 0.00410624
 0.00514096 0.00475852 0.00449548 0.00477594 0.00430548 0.00633233
 0.00491996 0.00483618 0.00487773 0.00505281 0.00525226 0.00527927
 0.00512914 0.00532958 0.00565013 0.00544169 0.00564741 0.00547052
 0.00571115 0.00579837 0.00583174 0.00608055 0.00563048 0.00741672
 0.00723661 0.0068348  0.00628082 0.00771267 0.00740405 0.0066155
 0.00770975 0.00705764 0.00652698 0.01174169 0.00939892 0.0092577
 0.00842138 0.00808873 0.00872109 0.00805429 0.00918473 0.00920013
 0.00935765 0.00939199 0.00983073 0.01035478 0.01026349 0.01002818
 0.01124322 0.01072608 0.01403103 0.01103641 0.01427971 0.01351465
 0.01460657 0.01207909 0.01438574 0.01328022 0.01720145 0.01929614
 0.01670729 0.02617937 0.02577893 0.02633345 0.01961031 0.02530861
 0.02708145 0.02682977 0.02791353 0.03653073 0.0268481 ]",0.0465278269587408,"[ 0.0302544  -0.0697915   0.07081576  0.28797013  0.15191953 -0.02350527
  0.10309431 -0.07649364 -0.03352647  0.07575823]",0.06821896269815268,"[0.76396686 0.88844794 0.95054451 0.9836426  0.950144   0.90601174
 0.98172822 0.95247346 0.97070987 0.98602997]",0.9427036168848281
11,100,0,20,64,"[0.01       0.00821651 0.00589266 0.00693504 0.00584836 0.00855734
 0.00637636 0.00729696 0.00637208 0.00861775 0.00962659 0.0065726
 0.0076351  0.00691055 0.00871632 0.0083341  0.00711608 0.008356
 0.00723506 0.00925595 0.00824074 0.00914025 0.007594   0.01398096
 0.01097187 0.01577533 0.01536231 0.01084544 0.00984463 0.01206696
 0.01148723 0.01100491 0.01115747 0.01301147 0.01229552 0.01219396
 0.01427578 0.01360218 0.01382609 0.01530012 0.01475676 0.01557602
 0.0152639  0.0181277  0.01610078 0.02287542 0.01797551 0.02792187
 0.01958928 0.02794422 0.02256355 0.02979287 0.02300386 0.03431702
 0.03951577 0.03173436 0.02800979 0.04549673 0.03052644 0.06321894
 0.00052238 0.00811487 0.02084284 0.03036051]",0.04819524134321784,"[ 0.03097485 -0.07466623  0.06940565  0.2917466   0.14928669 -0.02277983
  0.09944509 -0.07632186 -0.03245848  0.07377271]",0.06919712186194145,"[0.64678416 0.83929237 0.93956999 0.97600117 0.92398196 0.81170137
 0.97413945 0.90936484 0.96625516 0.98334181]",0.9060136608424363
12,100,0,50,24,"[0.01       0.0138239  0.02131068 0.01821815 0.02867156 0.02004087
 0.03567651 0.03462735 0.02501678 0.03247565 0.04469943 0.03977194
 0.04473561 0.03997155 0.0430756  0.04476757 0.04696859 0.06997238
 0.0556346  0.0689109  0.05290503 0.07942953 0.09472927 0.03456649]",0.08536978458289424,"[ 0.03289632 -0.10876067  0.08939636  0.38481063  0.18809743 -0.02383032
  0.1276603  -0.11280784 -0.05686764  0.09200095]",0.0930958520119291,"[0.32985948 0.66292612 0.81494178 0.92898655 0.84964198 0.6744693
 0.87188146 0.75989305 0.91206691 0.90788583]",0.7789677978865802
13,100,0,100,42,"[0.01       0.01023018 0.01128794 0.01187006 0.01337073 0.01237362
 0.01374067 0.01344007 0.01292727 0.01320995 0.01332084 0.01443919
 0.01543008 0.01664982 0.0172943  0.01596618 0.01626586 0.01861278
 0.01964412 0.01910367 0.01990963 0.01952195 0.019777   0.02151454
 0.0198338  0.02071535 0.01859861 0.01879912 0.02096405 0.02040598
 0.0210144  0.0213112  0.02453082 0.02784084 0.03258579 0.03486935
 0.03757321 0.04499649 0.04680613 0.05834987 0.07188667 0.08901781]",0.05582921151354414,"[ 0.01473164 -0.08976176  0.0717912   0.2891541   0.1421194  -0.01047666
  0.10084231 -0.08848725 -0.03695139  0.06788276]",0.07741125191591951,"[0.16864671 0.52839455 0.66976119 0.7188692  0.68928781 0.41055137
 0.76337394 0.6310889  0.71131107 0.76021692]",0.611201666216366
14,100,1,1,1263,[0.00028443 0.00027976 0.00028015 ... 0.00793177 0.00639298 0.00204327],0.06376934613258656,"[-0.17394122  0.05855953  0.01622802 -0.01498852 -0.00624269  0.16901386
  0.12285244 -0.09708746 -0.02872544 -0.12144127]",0.08053725552891862,"[0.91375565 0.95487248 0.99062922 0.9990457  0.99324749 0.9611541
 0.99814968 0.98766643 0.99254902 0.99907038]",0.9888041541191888
15,100,1,5,265,"[0.00135119 0.00145261 0.00134214 0.00135872 0.00136745 0.00141076
 0.00136112 0.00145715 0.00130466 0.0015251  0.00138373 0.00138428
 0.00146186 0.00131711 0.00163996 0.00140242 0.00152413 0.00142844
 0.00140076 0.00153232 0.00139604 0.00148962 0.00147995 0.00155377
 0.00140778 0.00160225 0.00140635 0.00153546 0.00146879 0.00158925
 0.00150572 0.0014449  0.00152777 0.00154969 0.00146881 0.00150425
 0.00163476 0.00148338 0.00174551 0.00151567 0.00158721 0.0014959
 0.00155415 0.00144867 0.00197279 0.00224386 0.00158619 0.00152327
 0.00169975 0.00152066 0.00159299 0.00163022 0.00170837 0.00157706
 0.00161331 0.00163775 0.00158896 0.00188589 0.00162742 0.00161347
 0.00170383 0.00162283 0.00167173 0.00169641 0.00158079 0.0019693
 0.00172638 0.00161429 0.00165114 0.00173458 0.00175152 0.00178431
 0.00168153 0.00175594 0.00182888 0.00177571 0.00179969 0.00173977
 0.00178255 0.00175107 0.00186147 0.0018111  0.00171274 0.00198367
 0.00171093 0.0019821  0.00175279 0.00204204 0.00178719 0.00187009
 0.00188944 0.00190031 0.00183156 0.00228746 0.00233522 0.00290224
 0.00191897 0.00191469 0.00199067 0.00200508 0.00190938 0.00200498
 0.00195121 0.00184156 0.00210184 0.00192761 0.00207104 0.00201569
 0.00221089 0.00201834 0.0020465  0.00196106 0.00210019 0.0021427
 0.00206462 0.00214242 0.00217012 0.0020922  0.0022507  0.00207117
 0.0021805  0.00217531 0.00230389 0.00204299 0.00251784 0.00223141
 0.00244141 0.00216063 0.00212406 0.00243482 0.00221923 0.00224266
 0.00238791 0.00220072 0.0023264  0.00227335 0.00257552 0.00233687
 0.00257658 0.0023168  0.00265411 0.00241012 0.0027045  0.0024005
 0.00272425 0.00237546 0.00269248 0.0024409  0.00252665 0.00240517
 0.00297684 0.00266728 0.00267797 0.00258424 0.00250961 0.00288369
 0.00259829 0.00289759 0.00268056 0.00295832 0.00260073 0.00318587
 0.00290311 0.00280346 0.00289389 0.00277882 0.00288598 0.00309693
 0.00283272 0.00293405 0.00328066 0.00299458 0.00310812 0.00311032
 0.00333353 0.00318269 0.00346505 0.00321239 0.00323253 0.00345779
 0.00332325 0.00330368 0.00322156 0.00374225 0.00332318 0.00376488
 0.00331893 0.00356287 0.00313773 0.00413539 0.00384495 0.00363246
 0.00356496 0.00370502 0.00367233 0.00392925 0.00376318 0.00409203
 0.0038434  0.00380162 0.00417233 0.00400515 0.00450358 0.00412471
 0.00434599 0.00421967 0.00415629 0.00461955 0.00425357 0.00465565
 0.00438757 0.0047581  0.00435267 0.00512343 0.00465023 0.00460852
 0.00487077 0.00552149 0.004966   0.00504079 0.00512124 0.00536
 0.00478296 0.00720272 0.00506687 0.00605974 0.00518215 0.00579087
 0.00542235 0.00640648 0.00547963 0.00553966 0.00641172 0.00771392
 0.00591824 0.00698142 0.00831172 0.00599287 0.00886934 0.01008867
 0.0068088  0.00742058 0.00758261 0.01009968 0.0141418  0.0136791
 0.01226951 0.01119625 0.01515369 0.01270558 0.01344632 0.01496892
 0.01394277 0.01446212 0.00841414 0.00954373 0.01033605 0.01017836
 0.01689054 0.01798028 0.01437866 0.01916207 0.02279276 0.02945845
 0.01410504]",0.04536176533539793,"[-0.09695937  0.19030556  0.11492564 -0.00062823  0.06229324  0.15214986
  0.23079428 -0.08540692  0.01996272 -0.19712213]",0.06725071605667707,"[0.8061936  0.93628514 0.97051716 0.99598184 0.97383337 0.91769047
 0.99506936 0.96948774 0.98964836 0.99531397]",0.9645521209223806
16,100,1,10,131,"[0.0031788  0.00272224 0.00339038 0.00302482 0.00269307 0.00311667
 0.00273213 0.00330513 0.00278005 0.00319785 0.00289865 0.00305105
 0.00293492 0.00313506 0.00309409 0.00309083 0.00316678 0.00303197
 0.00315105 0.00326256 0.0030975  0.00325846 0.00322683 0.00354037
 0.00314173 0.003619   0.00303458 0.00373724 0.00324568 0.00378
 0.00326805 0.003507   0.00347148 0.00370704 0.00338652 0.00343736
 0.0039187  0.00344578 0.00431782 0.0040751  0.00361918 0.0039818
 0.00353372 0.00421933 0.00367955 0.00419036 0.00380349 0.00385569
 0.00418164 0.00391726 0.00392173 0.0043085  0.00414298 0.00424667
 0.00407721 0.00458899 0.00403108 0.00542385 0.00687203 0.00465116
 0.00437605 0.00462442 0.00458505 0.00467354 0.00435035 0.00609521
 0.00584064 0.0066374  0.00501112 0.00499357 0.0054553  0.00527229
 0.00522482 0.00537184 0.00564658 0.00546585 0.0057293  0.00546328
 0.0059613  0.00552097 0.00645577 0.0058066  0.00578808 0.00725309
 0.00647405 0.0067151  0.00617796 0.00797361 0.00789572 0.00773782
 0.00721254 0.00716434 0.00667747 0.01029616 0.00725184 0.00990442
 0.00884996 0.00782099 0.00938673 0.00863133 0.00850892 0.00955926
 0.00918378 0.00980077 0.0093472  0.01074369 0.00935207 0.0111357
 0.01112249 0.0112829  0.01059677 0.01296405 0.01245046 0.01361264
 0.01046141 0.01818766 0.01285886 0.01334251 0.01597802 0.02065771
 0.01496854 0.02417187 0.01541279 0.01619782 0.02846284 0.02868952
 0.02360105 0.03152677 0.04118561 0.04015163 0.02029109]",0.03931446815430295,"[-0.1095231   0.17599961  0.10918536  0.00413731  0.06179439  0.1418716
  0.23042803 -0.08122402  0.01984121 -0.1757884 ]",0.06264795622184784,"[0.72765222 0.90462019 0.95235178 0.98111463 0.95742805 0.8884896
 0.98641719 0.96017902 0.97655674 0.98418733]",0.9412186717434088
17,100,1,20,60,"[0.01       0.00821835 0.00588758 0.0069456  0.00585776 0.00851028
 0.00639242 0.00724391 0.00636139 0.00864802 0.00905641 0.00760223
 0.00637526 0.01100877 0.00757979 0.00702918 0.00887072 0.007981
 0.00756054 0.00846604 0.00812613 0.00950832 0.00837118 0.01050683
 0.01142167 0.01211056 0.00962421 0.00912131 0.0121034  0.01824638
 0.02039218 0.02074149 0.01990783 0.01711667 0.01291514 0.01380758
 0.0139858  0.01588249 0.01482981 0.01579583 0.01632019 0.01699531
 0.0179138  0.01742038 0.01974059 0.02010461 0.02026844 0.02822947
 0.02401641 0.02553774 0.02626492 0.03335292 0.03636987 0.03096795
 0.03154052 0.03550253 0.04267782 0.04718863 0.06817796 0.01130005]",0.08472803193215084,"[-0.10432153  0.22786054  0.1471563   0.01989836  0.07615136  0.16775435
  0.29126817 -0.1192331   0.03254152 -0.22592974]",0.09233220717399873,"[0.61976535 0.86791466 0.90358715 0.96852956 0.93047187 0.81860562
 0.95814791 0.9276717  0.95683929 0.96606089]",0.9006769939057995
18,100,1,50,23,"[0.01       0.01382164 0.02130549 0.01821517 0.02864233 0.02001358
 0.03586018 0.03539892 0.02531024 0.03129907 0.03326924 0.03435047
 0.03873716 0.04674137 0.04325126 0.04366844 0.04206506 0.07962354
 0.09555359 0.06417872 0.07335149 0.10556074 0.0597823 ]",0.020031391009136312,"[-0.08868606  0.1568687   0.09377539  0.0079246   0.05923534  0.12311432
  0.2049801  -0.08947931  0.02653286 -0.13701598]",0.04694075412567026,"[0.32093499 0.73396091 0.83105046 0.87344859 0.78915537 0.65060048
 0.88081837 0.79728693 0.87421621 0.87350164]",0.7701223704055883
19,100,1,100,42,"[0.01       0.01022929 0.01128507 0.01186678 0.01336042 0.01236649
 0.01373518 0.01343966 0.01293053 0.01320145 0.01332424 0.01444777
 0.01543845 0.01668359 0.01732977 0.01603329 0.01631357 0.01859137
 0.01951482 0.01894321 0.01974075 0.01936666 0.01960527 0.02086167
 0.01904266 0.02021925 0.0187242  0.0186085  0.0209774  0.01980169
 0.02189523 0.02253189 0.02536704 0.02965063 0.03284664 0.03385752
 0.0373982  0.04414065 0.04825209 0.06108014 0.07366677 0.08333023]",0.018879146757485143,"[-0.08763662  0.14741123  0.10477947  0.00930396  0.04773913  0.10762636
  0.19436616 -0.09054665  0.02162779 -0.15168615]",0.0452553147097981,"[0.12148556 0.49105312 0.62876311 0.66407858 0.62735344 0.33732236
 0.69249924 0.56868077 0.6664722  0.72106742]",0.5573963554482907
