,data_size,data_id,mini_batch,n_steps,list_steps,mmd,median,median_rmse,contractions,rel_contraction
10,100,1,10,126,"[0.00317947 0.00270054 0.00327498 0.0028526  0.00286953 0.00309081
 0.00285309 0.00298703 0.00283244 0.00289068 0.00310723 0.00298056
 0.00316696 0.00305265 0.00322583 0.00298047 0.00341492 0.00296279
 0.00355962 0.00314956 0.00324146 0.00314261 0.00361191 0.00313929
 0.00345741 0.00326068 0.003546   0.003229   0.0039035  0.00333809
 0.00340922 0.00342876 0.00352754 0.00354032 0.0033019  0.00417143
 0.00365511 0.00364356 0.00339438 0.0038167  0.00350938 0.00389005
 0.00373252 0.0040789  0.00355875 0.00411999 0.00384699 0.00434929
 0.00381185 0.0043884  0.00389628 0.00435755 0.00396376 0.00445552
 0.00423258 0.00423012 0.00473866 0.00403355 0.0050451  0.00442682
 0.00448502 0.00463474 0.00485233 0.00456442 0.00509583 0.00458001
 0.00519071 0.00460419 0.00497997 0.00481064 0.00510413 0.00566618
 0.00518774 0.00538603 0.00536781 0.00565379 0.00517339 0.00623435
 0.00573103 0.00554164 0.00664062 0.00613149 0.00627312 0.00617782
 0.00713365 0.00639145 0.00678769 0.00661227 0.00722173 0.00652607
 0.0079455  0.0073514  0.00713334 0.00743711 0.00828187 0.00776634
 0.00828953 0.00815591 0.00872273 0.00877657 0.00936159 0.00872467
 0.01046872 0.00998522 0.01045112 0.01048652 0.01165684 0.01117704
 0.01334809 0.01278467 0.01374587 0.01387422 0.01494983 0.01629371
 0.01918703 0.0156559  0.02368877 0.02707925 0.03341562 0.03337014
 0.03320849 0.02701736 0.02767717 0.03263998 0.05165795 0.04593713]",0.012605945202642799,"[-0.07676008  0.12217791  0.04400941  0.00162452  0.01798069  0.10197528
  0.16110343 -0.06809193  0.0015028  -0.10747563]",0.035646075464106745,"[0.7092864  0.69470743 0.84311175 0.80213845 0.82890687 0.81763241
 0.81111006 0.84517102 0.74366487 0.84714512]",0.8022303126542829
11,100,1,100,1263,[0.00028443 0.00027976 0.00028015 ... 0.00793177 0.00639298 0.00204327],0.06458737069903808,"[-0.17394122  0.05855953  0.01622802 -0.01498852 -0.00624269  0.16901386
  0.12285244 -0.09708746 -0.02872544 -0.12144127]",0.08053725552891862,"[0.91375565 0.95487248 0.99062922 0.9990457  0.99324749 0.9611541
 0.99814968 0.98766643 0.99254902 0.99907038]",0.9888041541191888
12,1000,0,1,45,"[0.01       0.01023009 0.01113207 0.0116889  0.01187307 0.01199154
 0.01374421 0.01394771 0.01387616 0.01581236 0.01667139 0.01601885
 0.01632037 0.01669119 0.01344314 0.01448963 0.01644238 0.01676628
 0.01689189 0.01829628 0.01794033 0.01719172 0.01799048 0.01758148
 0.0174525  0.01743883 0.01964676 0.01768546 0.01833218 0.01988658
 0.01901272 0.0202389  0.02186767 0.02361888 0.02508999 0.02739602
 0.02857658 0.03033991 0.03374096 0.03520302 0.03812947 0.04852022
 0.06271251 0.07821366 0.03986579]",0.060128386707241965,"[ 0.0092146  -0.03225684  0.02144837  0.17296362  0.10740498  0.00831549
  0.07248194 -0.0524849  -0.01809445  0.04518265]",0.07761513244970218,"[-0.14038894  0.17369802  0.13363354  0.13282078  0.04345842  0.01183965
  0.31655284  0.08009889 -0.00785531  0.27815781]",0.10230377046298253
13,1000,0,10,126,"[0.00317931 0.00270938 0.00309535 0.00269054 0.00344794 0.00315984
 0.00278658 0.00361426 0.00411132 0.00280677 0.00366704 0.00396392
 0.00314485 0.00285695 0.00326584 0.00285931 0.0035371  0.00306074
 0.00334148 0.00314131 0.00343898 0.00314733 0.00327945 0.00338127
 0.00318945 0.00336749 0.00343368 0.00330857 0.00364174 0.0032826
 0.00330798 0.00370499 0.00341197 0.00427163 0.00436279 0.00559112
 0.00381753 0.00337692 0.00398391 0.0035832  0.003861   0.00372735
 0.00416206 0.00369983 0.00385479 0.00401231 0.00395012 0.00416292
 0.00388358 0.00418946 0.00413913 0.00419824 0.00414788 0.00406179
 0.00471667 0.00411707 0.00428604 0.00432216 0.00455446 0.00460081
 0.00447084 0.00465113 0.00506376 0.00463303 0.00508045 0.00466183
 0.00487494 0.0047439  0.00600294 0.00617373 0.00735532 0.00513394
 0.00596205 0.0051752  0.00615068 0.0055456  0.0064328  0.00573829
 0.00628513 0.00614043 0.00583145 0.00626895 0.00657504 0.00655668
 0.00679954 0.00637216 0.00719535 0.00708033 0.00744821 0.00732763
 0.00732128 0.00784862 0.00754672 0.00835476 0.00766933 0.00879649
 0.0086581  0.00866954 0.00997807 0.00942972 0.00920339 0.01055015
 0.01046935 0.01184785 0.01133109 0.01210146 0.01201564 0.01222187
 0.01409913 0.01464589 0.01639743 0.01424877 0.02222822 0.01644593
 0.01640783 0.03845221 0.03576064 0.03575321 0.02593868 0.03144469
 0.03722011 0.0386267  0.05028289 0.00187377 0.01680283 0.00165606]",0.0992210989588298,"[ 0.01179958 -0.10278076  0.07795278  0.37310773  0.18606189  0.01156447
  0.14839768 -0.11899731 -0.0643393   0.07648867]",0.10075821445001854,"[0.66289192 0.71389379 0.79616823 0.87196702 0.80562442 0.78267862
 0.81998105 0.80369699 0.79635193 0.8495791 ]",0.7910735909736248
14,1000,0,100,1282,[0.00028441 0.00026915 0.00028912 ... 0.00179454 0.00431173 0.0027013 ],0.07912215500739217,"[-0.00486449 -0.09106795  0.09784877  0.32167476  0.16092938  0.00266508
  0.13840501 -0.08418317 -0.05317725  0.04711132]",0.08955676296150579,"[0.93475603 0.94571284 0.98861403 0.99250156 0.99202454 0.95443475
 0.98776367 0.97987125 0.98845499 0.99115492]",0.9765043871256204
15,1000,0,1000,2500,"[3.5774472e-05 3.0926978e-05 3.0693594e-05 ... 3.6300742e-05 3.6950845e-05
 3.6702699e-05]",0.14335224662167256,"[-0.00222744  0.00312855 -0.00432837 -0.00594284 -0.00367126 -0.00468041
 -0.00096106 -0.00546046 -0.00112864  0.00693887]",0.12203605525652843,"[0.99859752 0.99904681 0.99902021 0.99897054 0.99893022 0.99881317
 0.99877924 0.99906158 0.99895045 0.99926812]",0.9999427312193582
16,1000,1,1,45,"[0.01       0.01023014 0.01113294 0.01168938 0.01187426 0.01199151
 0.01374661 0.0139525  0.01388441 0.01581806 0.01667855 0.01601681
 0.01632981 0.0166983  0.01343923 0.01449799 0.01644521 0.01676384
 0.01688469 0.01836762 0.017962   0.01715186 0.01791403 0.01754108
 0.01753695 0.01747739 0.01963899 0.01788579 0.01841257 0.01968144
 0.01853484 0.02024378 0.02216027 0.02355806 0.02570227 0.02768628
 0.02916069 0.03077728 0.03333243 0.03465239 0.03788812 0.0486141
 0.06366213 0.08245185 0.03393153]",0.01591778875068628,"[-0.0569424   0.08308528  0.02908604  0.01463655  0.02546023  0.05240265
  0.09811907 -0.03130369  0.02276482 -0.06369939]",0.03905817788454686,"[-0.09569896  0.06782415  0.09707122  0.06880837  0.05688111  0.01567996
  0.36091262  0.25094303  0.13968388  0.2752573 ]",0.12386000231280943
17,1000,1,10,125,"[0.0031795  0.00271011 0.0030943  0.00269146 0.00344673 0.00315531
 0.00278759 0.00360852 0.00397398 0.00292575 0.00337556 0.0029097
 0.00330162 0.00289824 0.00314339 0.00289696 0.00342041 0.00297145
 0.00339959 0.0030984  0.00346113 0.00314321 0.00326289 0.00337576
 0.00317171 0.00337125 0.00338679 0.00332074 0.0035604  0.00330243
 0.0032498  0.00377774 0.00334486 0.00454635 0.00399623 0.00347319
 0.00401021 0.0034335  0.00381531 0.00358443 0.00378099 0.00372268
 0.00410632 0.00369282 0.00376828 0.0039824  0.00391227 0.004122
 0.00384187 0.00415439 0.00408605 0.00416868 0.00409058 0.00404872
 0.00456132 0.00394034 0.00446765 0.00412034 0.00482064 0.00439298
 0.00449749 0.00449501 0.00516412 0.00466853 0.00491196 0.00477698
 0.00467073 0.00470721 0.00584793 0.0056437  0.00487834 0.00523167
 0.00531348 0.00553218 0.00550712 0.00550664 0.00608166 0.005609
 0.0060772  0.00596171 0.00568474 0.00610544 0.00632495 0.00627536
 0.00670646 0.00624422 0.00701492 0.00682694 0.00694673 0.00727409
 0.00682714 0.00768685 0.00722255 0.00830544 0.00789299 0.00745071
 0.00963073 0.0102666  0.00952367 0.00913331 0.00966501 0.00981134
 0.00969489 0.01124647 0.01077444 0.0109023  0.0113374  0.01291953
 0.01197417 0.01449809 0.01398638 0.01431627 0.01501038 0.01924761
 0.01564188 0.02134205 0.0183844  0.0303998  0.0255623  0.0196065
 0.02719637 0.04803386 0.05922971 0.04209599 0.04733855]",0.01734338414827108,"[-0.07739611  0.11612541  0.03587551  0.01415611  0.00444962  0.08793989
  0.16161363 -0.05574381 -0.0052921  -0.09265392]",0.041945482898488984,"[0.63920445 0.7276152  0.82844646 0.83660531 0.82907566 0.76078044
 0.85316169 0.82264834 0.80687415 0.86846596]",0.7980850527239963
18,1000,1,100,1267,[0.00028442 0.00026912 0.00028913 ... 0.00817108 0.00493629 0.00583615],0.07289446395044918,"[-0.16194144  0.06235314 -0.00496298  0.00807877 -0.03318851  0.1547139
  0.15523353 -0.09174646 -0.02882144 -0.10148861]",0.08554974371274025,"[0.91752012 0.94624572 0.97269778 0.98730516 0.97268559 0.94995354
 0.9829887  0.97654689 0.97130778 0.9891403 ]",0.9676057966585503
19,1000,1,1000,2500,"[3.5774461e-05 3.0927225e-05 3.0696538e-05 ... 3.5974364e-05 3.6625508e-05
 3.6385161e-05]",0.06323997786729407,"[-0.0022861   0.00327796 -0.0043014  -0.00615538 -0.00378063 -0.00458871
 -0.00089919 -0.00539951 -0.00105155  0.00676434]",0.0800101117923055,"[0.99860422 0.99905121 0.99902472 0.99897518 0.99893507 0.9988186
 0.99878441 0.99906604 0.99895542 0.99927125]",0.9999475625341401
