,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,kl,median,median_rmse,c_error,contractions,rel_contraction,model_id
21,1000,21,100,1,1,0,3645.67,25.678266106241143,"[ 0.0594363  -0.09410749  0.12033539 -0.03573907 -0.10423853 -0.02202911
  0.0496287   0.08388664  0.1777843  -0.01834763]",0.11531095,0.317,0.97699344,0.9779704350233076,0
22,1000,22,100,1,1,0,3645.67,193.29347172759077,"[-0.04447157  0.05994365 -0.05766453  0.07555908 -0.11924677 -0.04401477
  0.00731776  0.03174578 -0.0143474   0.09459072]",0.11531095,0.317,0.97699344,0.9779704350233076,0
23,1000,23,100,1,1,0,3645.67,89.01659050024163,"[-0.13801883  0.02443403 -0.00839797  0.02875066 -0.13196921  0.05713429
  0.13981113 -0.23376538  0.02369507  0.08831655]",0.11531095,0.317,0.97699344,0.9779704350233076,0
24,1000,24,100,1,1,0,3645.67,94.27868783573057,"[-0.10211925 -0.07235055  0.0388586  -0.05197494 -0.02894277 -0.20274536
  0.1480628   0.12985057 -0.08071667 -0.22989187]",0.11531095,0.317,0.97699344,0.9779704350233076,0
25,1000,25,100,1,1,0,3645.67,454.6775003482471,"[-0.00232507 -0.01056683  0.04181759 -0.09540397  0.13608328  0.14605421
 -0.07637857 -0.10981052 -0.27927417  0.17222369]",0.11531095,0.317,0.97699344,0.9779704350233076,0
26,1000,26,100,1,1,0,3645.67,288.6815237777851,"[-0.06385975 -0.04511351 -0.07370003  0.03560789 -0.22416623  0.0117071
  0.10867354  0.018189    0.01492412  0.1407617 ]",0.11531095,0.317,0.97699344,0.9779704350233076,0
27,1000,27,100,1,1,0,3645.67,501.47444941956513,"[-0.02675734 -0.19934383  0.23430698 -0.01574239 -0.00922853 -0.01043379
  0.02748339  0.04091644 -0.23434147  0.25553513]",0.11531095,0.317,0.97699344,0.9779704350233076,0
28,1000,28,100,1,1,0,3645.67,123.78441199645076,"[-0.01252154  0.0891943  -0.09440598  0.17693645  0.04579012  0.05718595
 -0.15703641  0.12796651  0.13748625  0.22172938]",0.11531095,0.317,0.97699344,0.9779704350233076,0
29,1000,29,100,1,1,0,3645.67,200.52134819149828,"[-0.03017662 -0.05851039  0.134436   -0.14092833 -0.00245524  0.18304482
  0.06125436  0.09849484  0.04309519  0.12751664]",0.11531095,0.317,0.97699344,0.9779704350233076,0
30,1000,30,100,1,1,0,3645.67,194.46770025395244,"[-0.13721316  0.16788855  0.01725635 -0.11722624  0.15538579 -0.06600374
 -0.1116798  -0.16862303  0.02990356 -0.01587713]",0.11531095,0.317,0.97699344,0.9779704350233076,0
31,1000,31,100,1,1,0,3645.67,88.41200601058611,"[ 0.03754806  0.04852904 -0.12844971 -0.08080766 -0.02528538  0.06389335
  0.06147857  0.01305721 -0.06505053  0.09804478]",0.11531095,0.317,0.97699344,0.9779704350233076,0
32,1000,32,100,1,1,0,3645.67,289.0399117054053,"[-0.02842732 -0.0026363   0.11017662 -0.05960376 -0.17096588  0.03664065
 -0.09295999  0.19960847 -0.01842483  0.19010344]",0.11531095,0.317,0.97699344,0.9779704350233076,0
33,1000,33,100,1,1,0,3645.67,363.330899187981,"[ 0.06109165 -0.04695314  0.17122468 -0.13916773 -0.268633    0.05378754
 -0.21024407  0.09376836 -0.02550286  0.2524408 ]",0.11531095,0.317,0.97699344,0.9779704350233076,0
34,1000,34,100,1,1,0,3645.67,231.77708181527947,"[ 0.1284774  -0.03415211 -0.08152433 -0.08262828 -0.00032258 -0.09465265
 -0.09575595 -0.01066065  0.14896703  0.11359406]",0.11531095,0.317,0.97699344,0.9779704350233076,0
35,1000,35,100,1,1,0,3645.67,572.7964940619962,"[-0.05804102 -0.13287294  0.23496443 -0.05480875 -0.00157017  0.01324195
 -0.1341214   0.02826314 -0.13819903  0.15628159]",0.11531095,0.317,0.97699344,0.9779704350233076,0
