,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,median_global,median_local,rmse_global,c_error_global,contractions_global,rmse_local,c_error_local,contractions_local,median
0,16,0,1,1,1,0,7733.0,[-0.8041531   0.16295159  0.20993245],"[ 0.35951978 -0.5737511   0.7001855   0.7713476   0.88785523  0.03879994
  0.03109214  0.39226103  0.8984514   0.25687236  0.42232633  0.91096115
 -0.5112263   0.50622505  0.3411473  -0.07156539]",0.14175817,0.36166666666666675,0.8222907,0.17872146,0.33562500000000006,0.8985188,
1,16,1,1,1,1,0,7733.0,[ 0.0666576  -0.83731085  0.7071738 ],"[-0.8988116   0.10562968 -0.88714087 -0.9110682  -0.9551629  -0.8258626
 -0.877792   -0.6997356   0.31819406 -0.8480718  -0.65737575  0.2311976
  0.11624712  0.53145933 -0.9236638  -0.69271076]",0.14175817,0.36166666666666675,0.8222907,0.17872146,0.33562500000000006,0.8985188,
2,16,2,1,1,1,0,7733.0,[ 0.18438765 -0.080432    0.3475106 ],"[ 0.9577121   0.8787176  -0.22454369 -0.45948356  0.39400303  0.7264833
  0.06635821 -0.67624056  0.98301077  0.05278602  0.9638323  -0.6872823
  0.4695434   0.5907796   0.05229515 -0.8208821 ]",0.14175817,0.36166666666666675,0.8222907,0.17872146,0.33562500000000006,0.8985188,
3,16,3,1,1,1,0,7733.0,[-0.10140342  0.40979332  0.5756677 ],"[ 0.9230821  -0.8321177   0.8725146  -0.26739535 -0.9809276   0.9334842
 -0.6319245   0.60592955  0.7941108   0.78238577  0.7833037  -0.3441157
 -0.28780675 -0.6351571   0.0497584   0.16623348]",0.14175817,0.36166666666666675,0.8222907,0.17872146,0.33562500000000006,0.8985188,
4,16,4,1,1,1,0,7733.0,[ 0.8783077  -0.1519052  -0.00814319],"[ 0.4745965  -0.78115964 -0.43768772 -0.00278747  0.6578499  -0.22425923
  0.23044074  0.06700051 -0.32343334  0.23692632  0.2375322  -0.40553975
  0.5912723   0.8649429   0.55320394 -0.42321897]",0.14175817,0.36166666666666675,0.8222907,0.17872146,0.33562500000000006,0.8985188,
5,16,5,1,1,1,0,7733.0,[-1.0030142  -0.39841995 -0.27949053],"[-0.1735628   0.1846475  -0.43770152 -0.04706559 -0.25143194 -0.04834938
  0.09144682 -0.08690849 -0.36215135  0.01668161 -0.41355798  0.0068174
 -0.071798   -0.19570544 -0.15429142 -0.2932188 ]",0.14175817,0.36166666666666675,0.8222907,0.17872146,0.33562500000000006,0.8985188,
6,16,6,1,1,1,0,7733.0,[1.3826354  0.01004651 0.48818135],"[ 0.992148    0.8765783  -0.52044916  0.9787762  -0.96410733  0.48107582
 -0.97396356  0.07357505  0.51844084  0.83005303 -0.4482274   0.970934
  0.522382   -0.5466347   0.93501323 -0.95507747]",0.14175817,0.36166666666666675,0.8222907,0.17872146,0.33562500000000006,0.8985188,
7,16,7,1,1,1,0,7733.0,[0.05346301 0.1601464  0.12415601],"[-0.19377458  0.423007    0.02975458  0.6183324   0.16465595 -0.15725291
  0.19921002  0.7126272   0.31388766  0.67859876 -0.41029057 -0.03143299
  0.10601071  0.16150796  0.4040419   0.15548521]",0.14175817,0.36166666666666675,0.8222907,0.17872146,0.33562500000000006,0.8985188,
8,16,8,1,1,1,0,7733.0,[ 0.33187768 -1.155148    0.07272718],"[-0.27014866 -0.8927835  -0.95100695 -0.56940496 -0.8018694  -0.9048835
 -0.7176619  -0.37843406 -0.6761031  -0.8698813  -0.39636156 -0.92042905
 -0.66466856 -0.73948836 -0.4678939  -0.52765745]",0.14175817,0.36166666666666675,0.8222907,0.17872146,0.33562500000000006,0.8985188,
9,16,9,1,1,1,0,7733.0,[-1.1606348  -0.03398234  0.25076538],"[-0.32923084 -0.20709726  0.20979995  0.34339333  0.88191766  0.05801815
  0.7024807   0.14214677 -0.5171876   0.18526238  0.5701474  -0.54181844
  0.66652805  0.07967606 -0.07452777  0.6810703 ]",0.14175817,0.36166666666666675,0.8222907,0.17872146,0.33562500000000006,0.8985188,
