,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,median_global,median_local,rmse_global,c_error_global,contractions_global,rmse_local,c_error_local,contractions_local,median
0,16,0,1,1,1,0,10000.0,[0.2965845  0.07392923 0.21257879],"[-0.68998694  0.4533944   0.9487089   0.5175879   0.85404825  0.7974678
  0.95530736  0.95407903  0.6473932   0.9895129   0.7551321   0.5957283
  0.01957202  0.3728006   0.885401    0.9487016 ]",0.19328196,0.5,nan,0.4067871,0.5,nan,
1,16,1,1,1,1,0,10000.0,[0.19358203 0.07518928 0.04305179],"[ 0.20823467 -0.6187842  -0.4862386   0.13727856  0.05688548 -0.6294871
 -0.68726563 -0.12261736  0.65918386 -0.53578734 -0.8110802  -0.04619038
  0.22382843  0.4051113  -0.3156312   0.3862114 ]",0.19328196,0.5,nan,0.4067871,0.5,nan,
2,16,2,1,1,1,0,10000.0,[0.35114634 0.0543141  0.19843188],"[ 0.9553118   0.5865545  -0.88765085 -0.9281603   0.5500649   0.7896608
 -0.90299034  0.2519027   0.24357498  0.4136988  -0.87918663  0.03968024
  0.5290257  -0.5077578  -0.4059068   0.30155158]",0.19328196,0.5,nan,0.4067871,0.5,nan,
3,16,3,1,1,1,0,10000.0,[-0.17666161 -0.34469235  0.15072237],"[-0.03031522 -0.5309161  -0.43239373  0.33979928  0.8790864   0.6152785
  0.809916    0.9228389  -0.9877762  -0.21117735 -0.40987444  0.8257805
  0.8795897  -0.39959967 -0.5294888  -0.9406663 ]",0.19328196,0.5,nan,0.4067871,0.5,nan,
4,16,4,1,1,1,0,10000.0,[-0.25771093 -0.22845036  0.15800418],"[ 0.36374557  0.68273747  0.963691   -0.7244934   0.06027031  0.90778327
  0.7225255  -0.07280385 -0.38430256 -0.4263646  -0.22466832  0.41789627
 -0.24772644 -0.33034515 -0.70011723 -0.97525823]",0.19328196,0.5,nan,0.4067871,0.5,nan,
5,16,5,1,1,1,0,10000.0,[-0.037567   -0.2178211  -0.07473749],"[ 0.85577095 -0.8652027  -0.5972521  -0.91167796  0.34852874  0.576908
 -0.10100526  0.39634132  0.47497118 -0.38048685  0.08469939  0.95227194
  0.8410516  -0.71382976 -0.6988403   0.78374505]",0.19328196,0.5,nan,0.4067871,0.5,nan,
6,16,6,1,1,1,0,10000.0,[ 0.09219347  0.36079723 -0.53763723],"[ 0.31707704 -0.7694275  -0.93910897  0.7740902   0.9525362  -0.41177332
  0.00409174  0.15639186 -0.97362214 -0.14848775  0.71250546 -0.28455603
  0.99177825 -0.16474897  0.7225392  -0.14835137]",0.19328196,0.5,nan,0.4067871,0.5,nan,
7,16,7,1,1,1,0,10000.0,[-0.28580707  0.18119557  0.13342422],"[-0.8498961   0.86729336  0.6006937   0.9282671   0.8517443   0.87831414
 -0.34533077  0.6242063  -0.9694394  -0.82878816 -0.8754203  -0.92393565
  0.02357161 -0.58497226 -0.984217   -0.71856284]",0.19328196,0.5,nan,0.4067871,0.5,nan,
8,16,8,1,1,1,0,10000.0,[ 0.16779375 -0.37300226 -0.29107958],"[-0.5435921  -0.38562888 -0.6262305   0.05890763 -0.9891059  -0.12783998
 -0.8738197   0.45437527  0.8881488   0.509722    0.96286476 -0.37673742
 -0.9191474  -0.88093996  0.75379527 -0.62288296]",0.19328196,0.5,nan,0.4067871,0.5,nan,
9,16,9,1,1,1,0,10000.0,[-0.04985772 -0.05075604 -0.08074343],"[ 0.9528233   0.8769028  -0.91433585  0.20297146  0.8136015   0.96030736
 -0.8531346   0.64022374  0.3860197  -0.55509627 -0.78860354 -0.70149827
  0.9866487   0.36771464  0.56580126  0.4409064 ]",0.19328196,0.5,nan,0.4067871,0.5,nan,
