,data_size,data_id,mini_batch,damping_factor,n_conditions,cosine_shift,n_steps,median_global,median_local,rmse_global,c_error_global,contractions_global,rmse_local,c_error_local,contractions_local,median
0,16,0,1,1e-05,1,0,32.44,[-0.45309383  0.73168445  0.41337967],"[ 0.26294374  0.11184877 -0.06350264  0.5514734   0.30109143  0.03721827
  0.25731385  0.05630338  0.08584952  0.1626072   0.00426269  0.3600086
  0.08493972  0.08352166  0.33053374 -0.16087082]",0.5582133,0.3580701754385965,0.0,0.3291487,0.19745065789473684,0.010039486,
1,16,1,1,1e-05,1,0,32.44,[ 0.32861257 -0.28259885  2.3207912 ],"[ 0.04537541  0.21103805  0.01964831 -0.05275494  0.02312326 -0.01207036
  0.21263665 -0.03245014  0.00208661  0.05281448  0.00311112 -0.00422096
  0.51122856  0.01420206  0.00218213  0.15732306]",0.5582133,0.3580701754385965,0.0,0.3291487,0.19745065789473684,0.010039486,
2,16,2,1,1e-05,1,0,32.44,[-0.8262484 -1.2074258  0.3602797],"[ 0.13298208 -0.7546717   0.19844669  0.1841858   0.12282443 -0.23057565
  0.5747915   0.32626498 -0.04494068  0.90566117 -0.1043075   0.06005174
  0.30256468  0.15375668  0.47101283  0.2909245 ]",0.5582133,0.3580701754385965,0.0,0.3291487,0.19745065789473684,0.010039486,
3,16,3,1,1e-05,1,0,32.44,[-0.3467873 -0.6087536  1.4880477],"[-0.00477058  0.03207582  0.00910985 -0.6826055   0.03892887 -0.14188
 -0.20704132 -0.62864566 -0.09040701  0.4928918  -0.12358284  0.03689075
  0.07602203  0.48914522  0.01370502 -0.15153223]",0.5582133,0.3580701754385965,0.0,0.3291487,0.19745065789473684,0.010039486,
4,16,4,1,1e-05,1,0,32.44,[0.07069288 0.4988063  0.06654711],"[-0.04159871  0.0328148   0.04658979  0.11109322 -0.02163583 -0.03895718
  0.0413307   0.00328434  0.00843641  0.00895047  0.01654178  0.02867609
 -0.01946205  0.1429326   0.0744735   0.03966725]",0.5582133,0.3580701754385965,0.0,0.3291487,0.19745065789473684,0.010039486,
5,16,5,1,1e-05,1,0,32.44,[ 0.18720701 -1.5515759  -0.69957054],"[-0.02885979  0.18675447  0.08389473  0.21391791  0.13027245  0.15538853
  0.09969872  0.02146703  0.06404358  0.03530496  0.11945033  0.11567181
  0.0569241   0.15151334  0.04753053  0.00438583]",0.5582133,0.3580701754385965,0.0,0.3291487,0.19745065789473684,0.010039486,
6,16,6,1,1e-05,1,0,32.44,[-0.89653075  1.1195109   0.39587662],"[ 0.894948   -0.6212205   0.09137726  0.9651529  -0.25216758 -0.86864454
 -0.47056848  0.93358225 -0.03408048  0.8767404   0.45036763 -0.8222203
  0.9268728  -0.7399113  -0.6857034   0.8819209 ]",0.5582133,0.3580701754385965,0.0,0.3291487,0.19745065789473684,0.010039486,
7,16,7,1,1e-05,1,0,32.44,[ 2.0947695   0.45368916 -0.08932914],"[-0.99298817  0.9978564  -0.9837948   0.6086295   0.99026406  0.99898374
 -0.59634244 -0.15577048 -0.9557139  -0.8244989   0.9973549  -0.9651654
 -0.94947684  0.15753222  0.99384856  0.99895734]",0.5582133,0.3580701754385965,0.0,0.3291487,0.19745065789473684,0.010039486,
8,16,8,1,1e-05,1,0,32.44,[ 1.299757  -0.4423337 -0.5114045],"[-0.10413519 -0.92888665  0.904983   -0.09934875  0.96836734 -0.77297723
 -0.47172022  0.27241498  0.92895615  0.8482553   0.09007728 -0.32399955
 -0.0726572   0.55818623 -0.8786387  -0.4893731 ]",0.5582133,0.3580701754385965,0.0,0.3291487,0.19745065789473684,0.010039486,
9,16,9,1,1e-05,1,0,32.44,[-1.1574385  -1.0095946   0.62304485],"[ 0.03272134 -0.15884918 -0.20979965 -0.6301647   0.01008916 -0.04616606
 -0.17074928 -0.05541176 -0.2421174   0.27135563 -0.04955393  0.00498641
  0.23847783  0.05672133 -0.12544721 -0.08460703]",0.5582133,0.3580701754385965,0.0,0.3291487,0.19745065789473684,0.010039486,
10,16,10,1,1e-05,1,0,32.44,[ 0.74662864 -0.85594225  0.92935026],"[-0.08391994  0.8860453  -0.16572925 -0.04474261  0.11138391  0.5781009
  0.6085476  -0.788592    0.26950443 -0.40158764  0.0189746  -0.02984083
  0.04386234  0.99232465 -0.28327978  0.98559517]",0.5582133,0.3580701754385965,0.0,0.3291487,0.19745065789473684,0.010039486,
11,16,11,1,1e-05,1,0,32.44,[-1.2006636 -0.659215   0.2764494],"[0.11338204 0.13317043 0.14196688 0.1303376  0.1811614  0.13770843
 0.2200495  0.14486414 0.14003736 0.13187486 0.07169044 0.08679897
 0.15186799 0.12598407 0.15410376 0.05956411]",0.5582133,0.3580701754385965,0.0,0.3291487,0.19745065789473684,0.010039486,
12,16,12,1,1e-05,1,0,32.44,[ 0.6982635  -0.45911282  1.7131639 ],"[ 0.30572808  0.14701593  0.00108254  0.81562006  0.990835    0.20571095
  0.5185439   0.46647435 -0.15148228  0.8325686   0.5341526   0.26894295
 -0.18398726  0.04008132 -0.01590702  0.22276866]",0.5582133,0.3580701754385965,0.0,0.3291487,0.19745065789473684,0.010039486,
13,16,13,1,1e-05,1,0,32.44,[0.08468324 0.69269466 1.7679679 ],"[ 0.02377117  0.01011509  0.01914674 -0.8189574   0.01697975 -0.01644644
  0.03549904 -0.01951566  0.02165419 -0.03581595  0.06805146  0.04527289
 -0.13042605  0.01201963 -0.01915029  0.00808537]",0.5582133,0.3580701754385965,0.0,0.3291487,0.19745065789473684,0.010039486,
